playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"497242","null","Clay Harbor","TE","DET","TE","DET","null","0.88","null","null","null","62","null","null","0.185","null","null","null","0.88","0.88","null","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","6.25","null","null","null","15","null","null","0.165","null","null","null","6.25","6.25","3.0406","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","1.96","null","null","null","121","null","null","0.285","null","null","null","1.96","1.96","8.1691","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","12.9","null","null","null","14","null","null","0.12","null","null","null","12.9","12.9","3.7552","null",
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","null","7.58","null","null","null","51","null","null","0.27","null","null","null","7.58","7.58","null","null",
"497320","null","Andre Roberts","WR","DET","WR","DET","null","2.24","null","null","null","115","null","null","0.085","null","null","null","2.24","2.24","6.6575","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","10.74","null","null","null","29","null","null","0.415","null","null","null","10.74","10.74","null","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","12.61","null","null","null","17","null","null","0.43","null","null","null","12.61","12.61","3.1506","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","11.88","null","null","null","21","null","null","0.465","null","null","null","11.88","11.88","4.6622","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","5.73","null","null","null","22","null","null","0.07","null","null","null","5.73","5.73","null","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","15.078","null","null","null","22","null","null","0.17","null","null","null","15.078","15.078","5.9121","null",
"2495150","null","Kai Forbath","K","MIN","K","MIN","null","1.9","null","null","null","19","null","null","0.05","null","null","null","1.9","1.9","6.1767","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","0.35","null","null","null","159","null","null","0.005","null","null","null","0.35","0.35","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","20.408","null","null","null","3","null","null","0.418","null","null","null","20.408","20.408","7.4218","null",
"2495187","null","Lance Kendricks","TE","LA","TE","LA","null","6.07","null","null","null","18","null","null","0.185","null","null","null","6.07","6.07","3.1421","null",
"2495189","null","Jeremy Kerley","WR","SF","WR","SF","null","6.67","null","null","null","60","null","null","0.22","null","null","null","6.67","6.67","4.5413","null",
"2495215","null","Christian Ponder","QB","SF","QB","SF","null","0","null","null","null","60","null","null","0","null","null","null","0","0","null","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.54","null","null","null","70","null","null","0.045","null","null","null","0.54","0.54","10.8546","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","17.984","null","null","null","11","null","null","0.505","null","null","null","17.984","17.984","4.7798","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","7.26","null","null","null","36","null","null","1.075","null","null","null","7.26","7.26","3.8588","null",
"2495259","null","Dan Bailey","K","DAL","K","DAL","null","2.2","null","null","null","11","null","null","0","null","null","null","2.2","2.2","4.5293","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","2.74","null","null","null","37","null","null","0.135","null","null","null","2.74","2.74","4.4614","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","7.53","null","null","null","35","null","null","0.675","null","null","null","7.53","7.53","3.5726","null",
"2495331","null","Aldrick Robinson","WR","ATL","WR","ATL","null","0.59","null","null","null","140","null","null","0.02","null","null","null","0.59","0.59","2.425","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","0.36","null","null","null","103","null","null","0.025","null","null","null","0.36","0.36","null","null",
"2495341","null","Cecil Shorts","WR","TB","WR","TB","null","4.04","null","null","null","86","null","null","0.175","null","null","null","4.04","4.04","3.9366","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","null","3.92","null","null","null","31","null","null","0.37","null","null","null","3.92","3.92","null","null",
"2495425","null","Scott Tolzien","QB","IND","QB","IND","null","0.132","null","null","null","49","null","null","0.001","null","null","null","0.132","0.132","null","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","8.5","null","null","null","10","null","null","0.49","null","null","null","8.5","8.5","2.6347","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","0.268","null","null","null","33","null","null","0.031","null","null","null","0.268","0.268","null","null",
"2495443","null","Ryan Mallett","QB","BAL","QB","BAL","null","0.134","null","null","null","48","null","null","0.002","null","null","null","0.134","0.134","null","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","9.47","null","null","null","36","null","null","0.12","null","null","null","9.47","9.47","4.3599","null",
"2495453","null","Andre Holmes","WR","OAK","WR","OAK","null","2.74","null","null","null","102","null","null","0.06","null","null","null","2.74","2.74","4.4808","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","17.47","null","null","null","2","null","null","0.96","null","null","null","17.47","17.47","1.5785","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","17.478","null","null","null","13","null","null","0.106","null","null","null","17.478","17.478","5.5347","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","null","5.24","null","null","null","81","null","null","0.37","null","null","null","5.24","5.24","null","null",
"2495461","null","Shaun Draughn","RB","SF","RB","SF","null","3.86","null","null","null","48","null","null","0.245","null","null","null","3.86","3.86","4.145","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","null","12.54","null","null","null","18","null","null","0.3","null","null","null","12.54","12.54","null","null",
"2495467","null","Taiwan Jones","RB","OAK","RB","OAK","null","0.98","null","null","null","75","null","null","0.05","null","null","null","0.98","0.98","3.8588","null",
"2495469","null","Dion Lewis","RB","NE","RB","NE","null","7.82","null","null","null","34","null","null","0.425","null","null","null","7.82","7.82","3.0955","null",
"2495471","null","Jacquizz Rodgers","RB","TB","RB","TB","null","3.73","null","null","null","49","null","null","0.285","null","null","null","3.73","3.73","null","null",
"2495472","null","Jordan Todman","RB","IND","RB","IND","null","0.4","null","null","null","98","null","null","0.01","null","null","null","0.4","0.4","3.8588","null",
"2495620","null","Clark Harris","TE","CIN","TE","CIN","null","0","null","null","null","86","null","null","0","null","null","null","0","0","null","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","null","11.36","null","null","null","4","null","null","1.555","null","null","null","11.36","11.36","2.0258","null",
"2495748","null","Drew Stanton","QB","ARI","QB","ARI","null","0.13","null","null","null","51","null","null","0.029","null","null","null","0.13","0.13","null","null",
"2495826","null","Vernon Davis","TE","WAS","TE","WAS","null","7.82","null","null","null","13","null","null","0.815","null","null","null","7.82","7.82","4.9688","null",
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","null","13.45","null","null","null","11","null","null","0.35","null","null","null","13.45","13.45","null","null",
"2495979","null","DeAngelo Williams","RB","PIT","RB","PIT","null","0.46","null","null","null","92","null","null","0.025","null","null","null","0.46","0.46","null","null",
"2500351","null","Phil Dawson","K","SF","K","SF","null","2.3","null","null","null","8","null","null","0.05","null","null","null","2.3","2.3","6.1767","null",
"2503471","null","Adam Vinatieri","K","IND","K","IND","null","2.2","null","null","null","11","null","null","0.05","null","null","null","2.2","2.2","3.5409","null",
"2504211","null","Tom Brady","QB","NE","QB","NE","null","20.122","null","null","null","4","null","null","0.386","null","null","null","20.122","20.122","null","null",
"2504257","null","Sebastian Janikowski","K","OAK","K","OAK","null","2.6","null","null","null","2","null","null","0.1","null","null","null","2.6","2.6","5.1883","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","null","10.39","null","null","null","30","null","null","0.22","null","null","null","10.39","10.39","4.118","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","null","22.396","null","null","null","1","null","null","1.905","null","null","null","22.396","22.396","-2.3913","null",
"2504797","null","Matt Bryant","K","ATL","K","ATL","null","2.5","null","null","null","3","null","null","0.05","null","null","null","2.5","2.5","3.2114","null",
"2504833","null","Shaun Hill","QB","MIN","QB","MIN","null","0.19","null","null","null","42","null","null","0.01","null","null","null","0.19","0.19","null","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","null","17.48","null","null","null","12","null","null","0.042","null","null","null","17.48","17.48","null","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","null","9.13","null","null","null","8","null","null","0.58","null","null","null","9.13","9.13","4.6643","null",
"2505354","null","Tony Romo","QB","DAL","QB","DAL","null","0.28","null","null","null","32","null","null","0.021","null","null","null","0.28","0.28","null","null",
"2505587","null","Anquan Boldin","WR","DET","WR","DET","null","8.71","null","null","null","41","null","null","0.1","null","null","null","8.71","8.71","5.3878","null",
