playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2506922","null","Stephen Gostkowski","K","NE","K","NE","null","3.5","null","null","null","1","null","null","0.75","null","null","null","3.5","3.5","8.1616","null",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","null","2","null","null","null","10","null","null","0","null","null","null","2","2","6.8671","null",
"2507232","null","Mason Crosby","K","GB","K","GB","null","2.5","null","null","null","5","null","null","0","null","null","null","2.5","2.5","2.3363","null",
"2507374","null","Steven Hauschka","K","SEA","K","SEA","null","2.5","null","null","null","5","null","null","0.05","null","null","null","2.5","2.5","null","null",
"2507463","null","Connor Barth","K","CHI","K","CHI","null","1.5","null","null","null","15","null","null","null","null","null","null","1.5","1.5","7.8379","null",
"2508061","null","Antonio Brown","WR","PIT","WR","PIT","null","17.53","null","null","null","1","null","null","0.9","null","null","null","17.53","17.53","1.976","null",
"2530747","null","Doug Baldwin","WR","SEA","WR","SEA","null","13.97","null","null","null","8","null","null","0.29","null","null","null","13.97","13.97","4.7442","null",
"2532820","null","Kirk Cousins","QB","WAS","QB","WAS","null","15.82","null","null","null","14","null","null","1.386","null","null","null","15.82","15.82","5.8051","null",
"2532865","null","T.Y. Hilton","WR","IND","WR","IND","null","13.85","null","null","null","9","null","null","0.395","null","null","null","13.85","13.85","null","null",
"2532899","null","Doug Martin","RB","TB","RB","TB","null","13","null","null","null","10","null","null","0.025","null","null","null","13","13","6.4645","null",
"2532975","null","Russell Wilson","QB","SEA","QB","SEA","null","18.694","null","null","null","8","null","null","0.764","null","null","null","18.694","18.694","5.5032","null",
"2533031","null","Andrew Luck","QB","IND","QB","IND","null","18.786","null","null","null","7","null","null","0.381","null","null","null","18.786","18.786","5.5032","null",
"2533034","null","Lamar Miller","RB","HOU","RB","HOU","null","13.15","null","null","null","9","null","null","0.155","null","null","null","13.15","13.15","5.9215","null",
"2536340","null","Justin Tucker","K","BAL","K","BAL","null","2","null","null","null","10","null","null","0","null","null","null","2","2","2.0127","null",
"2540148","null","Tyler Eifert","TE","CIN","TE","CIN","null","10.52","null","null","null","4","null","null","0.85","null","null","null","10.52","10.52","3.918","null",
"2540158","null","Zach Ertz","TE","PHI","TE","PHI","null","8.93","null","null","null","7","null","null","0.45","null","null","null","8.93","8.93","6.6721","null",
"2540165","null","DeAndre Hopkins","WR","HOU","WR","HOU","null","11.87","null","null","null","14","null","null","0.75","null","null","null","11.87","11.87","6.4293","null",
"2540175","null","LeVeon Bell","RB","PIT","RB","PIT","null","20.7","null","null","null","2","null","null","2.93","null","null","null","20.7","20.7","1.3964","null",
"2540204","null","Spencer Ware","RB","KC","RB","KC","null","13.94","null","null","null","8","null","null","0.865","null","null","null","13.94","13.94","4.6544","null",
"2540215","null","Vance McDonald","TE","SF","TE","SF","null","6.97","null","null","null","14","null","null","0.39","null","null","null","6.97","6.97","6.2787","null",
"2540258","null","Travis Kelce","TE","KC","TE","KC","null","11.04","null","null","null","2","null","null","0.29","null","null","null","11.04","11.04","1.7541","null",
"2541556","null","Brandon McManus","K","DEN","K","DEN","null","1.6","null","null","null","14","null","null","0.1","null","null","null","1.6","1.6","4.6017","null",
"2543466","null","Eric Ebron","TE","DET","TE","DET","null","9.95","null","null","null","5","null","null","0.79","null","null","null","9.95","9.95","3.918","null",
"2543468","null","Mike Evans","WR","TB","WR","TB","null","16.59","null","null","null","3","null","null","1.435","null","null","null","16.59","16.59","null","null",
"2543496","null","Odell Beckham","WR","NYG","WR","NYG","null","16.27","null","null","null","4","null","null","2.265","null","null","null","16.27","16.27","null","null",
"2543498","null","Brandin Cooks","WR","NO","WR","NO","null","13.4","null","null","null","11","null","null","0.385","null","null","null","13.4","13.4","7.6328","null",
"2543499","null","Derek Carr","QB","OAK","QB","OAK","null","17.744","null","null","null","10","null","null","0.505","null","null","null","17.744","17.744","5.5032","null",
"2543721","null","C.J. Fiedorowicz","TE","HOU","TE","HOU","null","7.98","null","null","null","11","null","null","0.285","null","null","null","7.98","7.98","null","null",
"2543743","null","Carlos Hyde","RB","SF","RB","SF","null","12.99","null","null","null","11","null","null","0.11","null","null","null","12.99","12.99","5.3785","null",
"2550545","null","Chris Boswell","K","PIT","K","PIT","null","2","null","null","null","10","null","null","0.2","null","null","null","2","2","6.5434","null",
"2550636","null","Cairo Santos","K","KC","K","KC","null","2","null","null","null","10","null","null","0.45","null","null","null","2","2","4.9253","null",
"2550656","null","Cameron Brate","TE","TB","TE","TB","null","8.23","null","null","null","9","null","null","0.24","null","null","null","8.23","8.23","5.2951","null",
"2552033","null","Jameis Winston","QB","TB","QB","TB","null","17.034","null","null","null","12","null","null","0.89","null","null","null","17.034","17.034","6.7109","null",
"2552469","null","Melvin Gordon","RB","SD","RB","SD","null","17.91","null","null","null","3","null","null","0.73","null","null","null","17.91","17.91","4.6544","null",
"2552487","null","Amari Cooper","WR","OAK","WR","OAK","null","13.97","null","null","null","6","null","null","0.06","null","null","null","13.97","13.97","5.2257","null",
"2552582","null","Jay Ajayi","RB","MIA","RB","MIA","null","12.8","null","null","null","13","null","null","1.16","null","null","null","12.8","12.8","8.0935","null",
"2552608","null","Stefon Diggs","WR","MIN","WR","MIN","null","14.04","null","null","null","5","null","null","0.07","null","null","null","14.04","14.04","null","null",
"2553435","null","David Johnson","RB","ARI","RB","ARI","null","22.88","null","null","null","1","null","null","3.575","null","null","null","22.88","22.88","null","null",
"2553833","null","Josh Lambo","K","SD","K","SD","null","2.5","null","null","null","5","null","null","0.3","null","null","null","2.5","2.5","4.6017","null",
"2555223","null","Devontae Booker","RB","DEN","RB","DEN","null","12.96","null","null","null","12","null","null","0.74","null","null","null","12.96","12.96","null","null",
"2555224","null","Ezekiel Elliott","RB","DAL","RB","DAL","null","17.63","null","null","null","4","null","null","1.24","null","null","null","17.63","17.63","3.0254","null",
"2555418","null","Jordan Howard","RB","CHI","RB","CHI","null","16.05","null","null","null","6","null","null","1.935","null","null","null","16.05","16.05","3.9304","null",
"2556601","null","Wil Lutz","K","NO","K","NO","null","2.9","null","null","null","2","null","null","0.3","null","null","null","2.9","2.9","null","null",
