playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"100015","null","Jaguars","DST","JAC","DST","JAC","null","3.1","null","null","null","28","null","null","0.5","null","null","null","3.1","3.1","7.9933","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","7.1","null","null","null","4","null","null","0.75","null","null","null","7.1","7.1","5.7182","null",
"100017","null","Rams","DST","LA","DST","LA","null","3.4","null","null","null","25","null","null","0","null","null","null","3.4","3.4","6.5212","null",
"100018","null","Raiders","DST","OAK","DST","OAK","null","4.1","null","null","null","21","null","null","0.3","null","null","null","4.1","4.1","3.8446","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","5","null","null","null","15","null","null","0.15","null","null","null","5","5","3.7108","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","4.7","null","null","null","18","null","null","0.5","null","null","null","4.7","4.7","5.3167","null",
"100021","null","Patriots","DST","NE","DST","NE","null","5.4","null","null","null","10","null","null","0.1","null","null","null","5.4","5.4","2.1049","null",
"100022","null","Saints","DST","NO","DST","NO","null","3.8","null","null","null","23","null","null","0.35","null","null","null","3.8","3.8","6.9226","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","6.3","null","null","null","6","null","null","0.2","null","null","null","6.3","6.3","5.852","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","2.6","null","null","null","29","null","null","0","null","null","null","2.6","2.6","8.7962","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","5.7","null","null","null","9","null","null","0.35","null","null","null","5.7","5.7","3.1755","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","2.6","null","null","null","29","null","null","null","null","null","null","2.6","2.6","4.2461","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","6.2","null","null","null","7","null","null","0.35","null","null","null","6.2","6.2","4.6476","null",
"100028","null","Chargers","DST","SD","DST","SD","null","6","null","null","null","8","null","null","0.45","null","null","null","6","6","4.1123","null",
"100029","null","49ers","DST","SF","DST","SF","null","3.4","null","null","null","25","null","null","0.15","null","null","null","3.4","3.4","5.5844","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","8.1","null","null","null","2","null","null","0.75","null","null","null","8.1","8.1","1.4357","null",
"100031","null","Buccaneers","DST","TB","DST","TB","null","7.6","null","null","null","3","null","null","0.85","null","null","null","7.6","7.6","7.1903","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","5.3","null","null","null","12","null","null","0.25","null","null","null","5.3","5.3","6.9226","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","8.73","null","null","null","46","null","null","0.105","null","null","null","8.73","8.73","null","null",
"497095","null","Sam Bradford","QB","MIN","QB","MIN","null","14.41","null","null","null","23","null","null","0.383","null","null","null","14.41","14.41","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","1.476","null","null","null","39","null","null","0.285","null","null","null","1.476","1.476","null","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","11.33","null","null","null","17","null","null","0.255","null","null","null","11.33","11.33","4.2268","null",
"497204","null","C.J. Spiller","RB","NYJ","RB","NYJ","null","0.88","null","null","null","89","null","null","0.005","null","null","null","0.88","0.88","10.9671","null",
"497206","null","James Starks","RB","GB","RB","GB","null","9.16","null","null","null","25","null","null","0.125","null","null","null","9.16","9.16","4.5116","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","2.1","null","null","null","41","null","null","0.175","null","null","null","2.1","2.1","4.2614","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","8.89","null","null","null","6","null","null","0.28","null","null","null","8.89","8.89","null","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","3.46","null","null","null","34","null","null","0.47","null","null","null","3.46","3.46","null","null",
"497242","null","Clay Harbor","TE","DET","TE","DET","null","0.59","null","null","null","64","null","null","0.11","null","null","null","0.59","0.59","null","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","5.43","null","null","null","20","null","null","0.295","null","null","null","5.43","5.43","3.0373","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","0.65","null","null","null","127","null","null","0.01","null","null","null","0.65","0.65","8.1625","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","14.3","null","null","null","7","null","null","0.775","null","null","null","14.3","14.3","3.7554","null",
"497286","null","Marcus Easley","WR","BUF","WR","BUF","null","0.44","null","null","null","136","null","null","0.06","null","null","null","0.44","0.44","null","null",
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","null","6.96","null","null","null","56","null","null","0.21","null","null","null","6.96","6.96","null","null",
"497320","null","Andre Roberts","WR","DET","WR","DET","null","2.27","null","null","null","99","null","null","0.09","null","null","null","2.27","2.27","6.6532","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","10.83","null","null","null","22","null","null","0.015","null","null","null","10.83","10.83","null","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","10.72","null","null","null","25","null","null","0.14","null","null","null","10.72","10.72","3.1516","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","10.61","null","null","null","26","null","null","0.115","null","null","null","10.61","10.61","4.6609","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","4.6","null","null","null","27","null","null","0.17","null","null","null","4.6","4.6","null","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","15.84","null","null","null","17","null","null","0.363","null","null","null","15.84","15.84","5.9121","null",
"2495150","null","Kai Forbath","K","MIN","K","MIN","null","6","null","null","null","24","null","null","0.15","null","null","null","6","6","6.1767","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","1.06","null","null","null","121","null","null","0.195","null","null","null","1.06","1.06","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","18.138","null","null","null","8","null","null","0.673","null","null","null","18.138","18.138","7.4218","null",
"2495187","null","Lance Kendricks","TE","LA","TE","LA","null","6.02","null","null","null","19","null","null","0.715","null","null","null","6.02","6.02","3.1393","null",
"2495189","null","Jeremy Kerley","WR","SF","WR","SF","null","6.17","null","null","null","64","null","null","0.115","null","null","null","6.17","6.17","4.5402","null",
"2495223","null","Greg Salas","WR","BUF","WR","BUF","null","0.85","null","null","null","123","null","null","0.095","null","null","null","0.85","0.85","null","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.47","null","null","null","66","null","null","0.16","null","null","null","0.47","0.47","10.8921","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","17.494","null","null","null","9","null","null","0.241","null","null","null","17.494","17.494","4.7798","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","6.28","null","null","null","41","null","null","0.225","null","null","null","6.28","6.28","3.8471","null",
"2495259","null","Dan Bailey","K","DAL","K","DAL","null","10.9","null","null","null","2","null","null","1.1","null","null","null","10.9","10.9","4.5293","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","4.14","null","null","null","31","null","null","0.23","null","null","null","4.14","4.14","4.4655","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","7.59","null","null","null","32","null","null","0.055","null","null","null","7.59","7.59","3.5623","null",
"2495331","null","Aldrick Robinson","WR","ATL","WR","ATL","null","1.68","null","null","null","107","null","null","0.05","null","null","null","1.68","1.68","2.4272","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","0.23","null","null","null","102","null","null","0.13","null","null","null","0.23","0.23","null","null",
"2495341","null","Cecil Shorts","WR","TB","WR","TB","null","3.68","null","null","null","86","null","null","0.265","null","null","null","3.68","3.68","3.9365","null",
"2495425","null","Scott Tolzien","QB","IND","QB","IND","null","0.918","null","null","null","42","null","null","0.139","null","null","null","0.918","0.918","null","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","6.84","null","null","null","15","null","null","0.635","null","null","null","6.84","6.84","2.6293","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","5.486","null","null","null","31","null","null","0.953","null","null","null","5.486","5.486","null","null",
"2495443","null","Ryan Mallett","QB","BAL","QB","BAL","null","0.238","null","null","null","48","null","null","0.176","null","null","null","0.238","0.238","null","null",
"2495448","null","Randall Cobb","WR","GB","WR","GB","null","8.07","null","null","null","50","null","null","0.12","null","null","null","8.07","8.07","4.3591","null",
"2495453","null","Andre Holmes","WR","OAK","WR","OAK","null","2.89","null","null","null","92","null","null","0.215","null","null","null","2.89","2.89","4.4798","null",
"2495454","null","Julio Jones","WR","ATL","WR","ATL","null","18.07","null","null","null","1","null","null","1.42","null","null","null","18.07","18.07","1.5819","null",
"2495455","null","Cam Newton","QB","CAR","QB","CAR","null","18.246","null","null","null","7","null","null","0.43","null","null","null","18.246","18.246","5.5347","null",
"2495459","null","Torrey Smith","WR","SF","WR","SF","null","7.78","null","null","null","53","null","null","0.445","null","null","null","7.78","7.78","null","null",
"2495461","null","Shaun Draughn","RB","SF","RB","SF","null","4.45","null","null","null","52","null","null","0.225","null","null","null","4.45","4.45","4.1319","null",
"2495466","null","Mark Ingram","RB","NO","RB","NO","null","11.94","null","null","null","13","null","null","0.025","null","null","null","11.94","11.94","null","null",
"2495467","null","Taiwan Jones","RB","OAK","RB","OAK","null","0.71","null","null","null","94","null","null","0.08","null","null","null","0.71","0.71","3.8471","null",
"2495469","null","Dion Lewis","RB","NE","RB","NE","null","7.04","null","null","null","38","null","null","0.25","null","null","null","7.04","7.04","3.0876","null",
"2495471","null","Jacquizz Rodgers","RB","TB","RB","TB","null","5.12","null","null","null","46","null","null","0.15","null","null","null","5.12","5.12","null","null",
"2495472","null","Jordan Todman","RB","IND","RB","IND","null","0.24","null","null","null","101","null","null","0.035","null","null","null","0.24","0.24","3.8471","null",
"2495700","null","Greg Olsen","TE","CAR","TE","CAR","null","11.46","null","null","null","1","null","null","1.675","null","null","null","11.46","11.46","2.0172","null",
"2495748","null","Drew Stanton","QB","ARI","QB","ARI","null","0.064","null","null","null","49","null","null","0.012","null","null","null","0.064","0.064","null","null",
"2495802","null","Jason Avant","WR","KC","WR","KC","null","1.12","null","null","null","117","null","null","0.01","null","null","null","1.12","1.12","null","null",
"2495826","null","Vernon Davis","TE","WAS","TE","WAS","null","8.5","null","null","null","9","null","null","0.175","null","null","null","8.5","8.5","4.9755","null",
"2495838","null","Bruce Gradkowski","QB","PIT","QB","PIT","null","0.02","null","null","null","53","null","null","0.002","null","null","null","0.02","0.02","null","null",
"2495893","null","Brandon Marshall","WR","NYJ","WR","NYJ","null","10.55","null","null","null","27","null","null","0.13","null","null","null","10.55","10.55","null","null",
"2500351","null","Phil Dawson","K","SF","K","SF","null","6.3","null","null","null","23","null","null","0.35","null","null","null","6.3","6.3","6.1767","null",
"2503471","null","Adam Vinatieri","K","IND","K","IND","null","8.6","null","null","null","8","null","null","0.05","null","null","null","8.6","8.6","3.5409","null",
"2504211","null","Tom Brady","QB","NE","QB","NE","null","16.786","null","null","null","13","null","null","0.209","null","null","null","16.786","16.786","null","null",
"2504257","null","Sebastian Janikowski","K","OAK","K","OAK","null","8.9","null","null","null","5","null","null","0.1","null","null","null","8.9","8.9","5.1883","null",
"2504595","null","Steve Smith","WR","BAL","WR","BAL","null","11.19","null","null","null","20","null","null","0.255","null","null","null","11.19","11.19","4.1176","null",
"2504775","null","Drew Brees","QB","NO","QB","NO","null","23.044","null","null","null","1","null","null","2.818","null","null","null","23.044","23.044","-2.3913","null",
"2504797","null","Matt Bryant","K","ATL","K","ATL","null","8.8","null","null","null","6","null","null","0.1","null","null","null","8.8","8.8","3.2114","null",
"2504833","null","Shaun Hill","QB","MIN","QB","MIN","null","0.272","null","null","null","47","null","null","0.121","null","null","null","0.272","0.272","null","null",
"2505245","null","Carson Palmer","QB","ARI","QB","ARI","null","16.97","null","null","null","12","null","null","0.195","null","null","null","16.97","16.97","null","null",
"2505299","null","Antonio Gates","TE","SD","TE","SD","null","8.9","null","null","null","5","null","null","0.125","null","null","null","8.9","8.9","4.6695","null",
"2505354","null","Tony Romo","QB","DAL","QB","DAL","null","1.706","null","null","null","37","null","null","0.188","null","null","null","1.706","1.706","null","null",
"2505587","null","Anquan Boldin","WR","DET","WR","DET","null","11.31","null","null","null","19","null","null","0.195","null","null","null","11.31","11.31","5.3854","null",
"2505629","null","Jason Witten","TE","DAL","TE","DAL","null","8.39","null","null","null","10","null","null","0.315","null","null","null","8.39","8.39","2.9353","null",
"2505982","null","Matt Schaub","QB","ATL","QB","ATL","null","-0.03","null","null","null","59","null","null","0.051","null","null","null","-0.03","-0.03","null","null",
"2505996","null","Eli Manning","QB","NYG","QB","NYG","null","15.624","null","null","null","18","null","null","0.376","null","null","null","15.624","15.624","7.7993","null",
"2506106","null","Larry Fitzgerald","WR","ARI","WR","ARI","null","12.95","null","null","null","11","null","null","0.895","null","null","null","12.95","12.95","null","null",
"2506109","null","Ben Roethlisberger","QB","PIT","QB","PIT","null","16.104","null","null","null","16","null","null","0.372","null","null","null","16.104","16.104","2.8927","null",
"2506121","null","Philip Rivers","QB","SD","QB","SD","null","18.98","null","null","null","5","null","null","0.515","null","null","null","18.98","18.98","4.4024","null",
"2506147","null","John Kuhn","RB","NO","RB","NO","null","1.34","null","null","null","83","null","null","0.1","null","null","null","1.34","1.34","7.1697","null",
"2506194","null","Nick Novak","K","HOU","K","HOU","null","8.1","null","null","null","13","null","null","0.3","null","null","null","8.1","8.1","4.5293","null",
"2506264","null","Robbie Gould","K","NYG","K","NYG","null","5.8","null","null","null","26","null","null","0.2","null","null","null","5.8","5.8","7.8241","null",
"2506340","null","Alex Smith","QB","KC","QB","KC","null","15.33","null","null","null","19","null","null","0.232","null","null","null","15.33","15.33","6.667","null",
"2506363","null","Aaron Rodgers","QB","GB","QB","GB","null","19.59","null","null","null","4","null","null","0.758","null","null","null","19.59","19.59","null","null",
"2506386","null","Mike Nugent","K","CIN","K","CIN","null","7","null","null","null","19","null","null","0.2","null","null","null","7","7","3.2114","null",
"2506404","null","Frank Gore","RB","IND","RB","IND","null","12.4","null","null","null","9","null","null","0.065","null","null","null","12.4","12.4","2.8028","null",
"2506467","null","Darren Sproles","RB","PHI","RB","PHI","null","9.58","null","null","null","24","null","null","0.47","null","null","null","9.58","9.58","5.0812","null",
"2506481","null","Dan Orlovsky","QB","DET","QB","DET","null","0.404","null","null","null","45","null","null","0.114","null","null","null","0.404","0.404","null","null",
"2506546","null","Derek Anderson","QB","CAR","QB","CAR","null","0.718","null","null","null","44","null","null","0.362","null","null","null","0.718","0.718","null","null",
"2506581","null","Ryan Fitzpatrick","QB","NYJ","QB","NYJ","null","14.8","null","null","null","22","null","null","0.517","null","null","null","14.8","14.8","null","null",
"2506619","null","Daniel Fells","TE","NYG","TE","NYG","null","0.81","null","null","null","58","null","null","0.04","null","null","null","0.81","0.81","null","null",
"2506677","null","Matt Prater","K","DET","K","DET","null","9.4","null","null","null","4","null","null","0.55","null","null","null","9.4","9.4","3.2114","null",
"2506874","null","Reggie Bush","RB","BUF","RB","BUF","null","2.14","null","null","null","77","null","null","0.325","null","null","null","2.14","2.14","8.6887","null",
"2506895","null","Kellen Clemens","QB","SD","QB","SD","null","-0.01","null","null","null","57","null","null","0.014","null","null","null","-0.01","-0.01","null","null",
"2506897","null","Devin Hester","WR","BAL","WR","BAL","null","-0.19","null","null","null","145","null","null","0.01","null","null","null","-0.19","-0.19","null","null",
"2506922","null","Stephen Gostkowski","K","NE","K","NE","null","6.8","null","null","null","21","null","null","0.35","null","null","null","6.8","6.8","8.4831","null",
"2507029","null","Eric Weems","WR","ATL","WR","ATL","null","0.07","null","null","null","144","null","null","0.265","null","null","null","0.07","0.07","null","null",
"2507166","null","Ted Ginn","WR","CAR","WR","CAR","null","9.01","null","null","null","43","null","null","0.175","null","null","null","9.01","9.01","null","null",
"2507218","null","Brent Celek","TE","PHI","TE","PHI","null","3.12","null","null","null","35","null","null","0.3","null","null","null","3.12","3.12","8.4439","null",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","null","7.7","null","null","null","15","null","null","0.35","null","null","null","7.7","7.7","7.1652","null",
"2507232","null","Mason Crosby","K","GB","K","GB","null","8.6","null","null","null","8","null","null","0.15","null","null","null","8.6","8.6","2.5524","null",
"2507374","null","Steven Hauschka","K","SEA","K","SEA","null","7.6","null","null","null","16","null","null","0.5","null","null","null","7.6","7.6","null","null",
