playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","4.3","null","null","null","68","null","null","0.05","null","null","null","4.3","4.3","null","null",
"80674","null","Chris Ogbonnaya","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","PHI","QB","PHI","null","0.12","null","null","null","56","null","null","0","null","null","null","0.12","0.12","null","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","CHI","QB","CHI","null","0","null","null","null","63","null","null","0","null","null","null","0","0","null","null",
"81306","null","Brandon Tate","WR","BUF","WR","BUF","null","1.2","null","null","null","109","null","null","0","null","null","null","1.2","1.2","4.8125","null",
"81831","null","Brian Hartline","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","0.1","null","null","null","76","null","null","0","null","null","null","0.1","0.1","null","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","1","null","null","null","26","null","null","0","null","null","null","1","1","3.8446","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","4","null","null","null","13","null","null","0","null","null","null","4","4","3.0417","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","3","null","null","null","22","null","null","0.5","null","null","null","3","3","5.7182","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","4","null","null","null","13","null","null","0","null","null","null","4","4","7.1903","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","6","null","null","null","5","null","null","0","null","null","null","6","6","7.1903","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","4","null","null","null","13","null","null","0","null","null","null","4","4","4.9152","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","4","null","null","null","13","null","null","0","null","null","null","4","4","4.5138","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","12","null","null","null","1","null","null","0","null","null","null","12","12","-0.1702","null",
"100010","null","Lions","DST","DET","DST","DET","null","1","null","null","null","26","null","null","0","null","null","null","1","1","3.7108","null",
"100011","null","Packers","DST","GB","DST","GB","null","4","null","null","null","13","null","null","0","null","null","null","4","4","4.3799","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","2","null","null","null","24","null","null","0.5","null","null","null","2","2","4.7814","null",
"100014","null","Colts","DST","IND","DST","IND","null","3","null","null","null","22","null","null","1","null","null","null","3","3","6.7888","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","12","null","null","null","1","null","null","0","null","null","null","12","12","7.9933","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","4","null","null","null","13","null","null","0","null","null","null","4","4","5.7182","null",
"100017","null","Rams","DST","LA","DST","LA","null","1","null","null","null","26","null","null","0","null","null","null","1","1","6.5212","null",
"100018","null","Raiders","DST","OAK","DST","OAK","null","4","null","null","null","13","null","null","0","null","null","null","4","4","3.8446","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","12","null","null","null","1","null","null","3","null","null","null","12","12","3.7108","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","5","null","null","null","12","null","null","1","null","null","null","5","5","5.3167","null",
"100021","null","Patriots","DST","NE","DST","NE","null","12","null","null","null","1","null","null","6","null","null","null","12","12","2.1049","null",
"100022","null","Saints","DST","NO","DST","NO","null","4","null","null","null","13","null","null","0.5","null","null","null","4","4","6.9226","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","1","null","null","null","26","null","null","0","null","null","null","1","1","5.852","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","6","null","null","null","5","null","null","0","null","null","null","6","6","8.7962","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","6","null","null","null","5","null","null","0","null","null","null","6","6","3.1755","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","2","null","null","null","24","null","null","1","null","null","null","2","2","4.2461","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","1","null","null","null","26","null","null","null","null","null","null","1","1","4.6476","null",
"100028","null","Chargers","DST","SD","DST","SD","null","6","null","null","null","5","null","null","0","null","null","null","6","6","4.1123","null",
"100029","null","49ers","DST","SF","DST","SF","null","6","null","null","null","5","null","null","0","null","null","null","6","6","5.5844","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","4","null","null","null","13","null","null","1","null","null","null","4","4","1.4357","null",
"100031","null","Buccaneers","DST","TB","DST","TB","null","6","null","null","null","5","null","null","0.5","null","null","null","6","6","7.1903","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","6","null","null","null","5","null","null","1.5","null","null","null","6","6","6.9226","null",
"163982","null","Will Johnson","RB","NYG","RB","NYG","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","null","0","null","null","null","81","null","null","0","null","null","null","0","0","null","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","5.6","null","null","null","50","null","null","0.05","null","null","null","5.6","5.6","null","null",
