playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"206","null","Andre Caldwell","WR","DET","WR","DET","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","0.48","null","null","null","133","null","null","0.05","null","null","null","0.48","0.48","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0","null","null","null","99","null","null","0","null","null","null","0","0","3.0736","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","12.32","null","null","null","14","null","null","1.105","null","null","null","12.32","12.32","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.092","null","null","null","54","null","null","0","null","null","null","0.092","0.092","null","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","61","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","17.91","null","null","null","14","null","null","0.21","null","null","null","17.91","17.91","7.8562","null",
"318","null","Jerome Simpson","WR","FA","WR","FA","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","6.21","null","null","null","23","null","null","0.5","null","null","null","6.21","6.21","3.579","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0","null","null","null","61","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.14","null","null","null","25","null","null","0.575","null","null","null","16.14","16.14","5.1978","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","13.27","null","null","null","11","null","null","0.26","null","null","null","13.27","13.27","5.578","null",
"927","null","Justin Forsett","RB","FA","RB","FA","null","8.37","null","null","null","30","null","null","0.11","null","null","null","8.37","8.37","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","10.05","null","null","null","22","null","null","0.31","null","null","null","10.05","10.05","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","14.14","null","null","null","6","null","null","0.425","null","null","null","14.14","14.14","2.63","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","6.32","null","null","null","22","null","null","0.27","null","null","null","6.32","6.32","null","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","8.19","null","null","null","8","null","null","0.12","null","null","null","8.19","8.19","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","9.26","null","null","null","38","null","null","0.09","null","null","null","9.26","9.26","3.0548","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","8.73","null","null","null","43","null","null","0.07","null","null","null","8.73","8.73","null","null",
"1992","null","Craig Stevens","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","6.4","null","null","null","66","null","null","0.075","null","null","null","6.4","6.4","5.3384","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","5.69","null","null","null","75","null","null","0.035","null","null","null","5.69","5.69","4.3294","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","3.06","null","null","null","62","null","null","0.26","null","null","null","3.06","3.06","6.866","null",
"4433","null","Marcel Reece","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"71217","null","Kenny Britt","WR","LA","WR","LA","null","6.77","null","null","null","62","null","null","0.215","null","null","null","6.77","6.77","5.8163","null",
"71255","null","Chase Coffman","TE","IND","TE","IND","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","GB","TE","GB","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","10.23","null","null","null","31","null","null","0.04","null","null","null","10.23","10.23","2.8424","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","7.47","null","null","null","34","null","null","0.38","null","null","null","7.47","7.47","null","null",
"71417","null","Jordan Norwood","WR","DEN","WR","DEN","null","2.35","null","null","null","105","null","null","0.095","null","null","null","2.35","2.35","2.0458","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"71435","null","John Phillips","TE","DEN","TE","DEN","null","1.59","null","null","null","50","null","null","0.24","null","null","null","1.59","1.59","6.2968","null",
"79555","null","Arian Foster","RB","MIA","RB","MIA","null","8.75","null","null","null","29","null","null","0.4","null","null","null","8.75","8.75","null","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","null","61","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","PIT","TE","PIT","null","0.56","null","null","null","60","null","null","0.07","null","null","null","0.56","0.56","3.8578","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","17.35","null","null","null","3","null","null","2.035","null","null","null","17.35","17.35","1.6425","null",
"79625","null","Bear Pascoe","TE","NE","TE","NE","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"79858","null","Mark Sanchez","QB","DAL","QB","DAL","null","1.644","null","null","null","31","null","null","0.449","null","null","null","1.644","1.644","null","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","19.12","null","null","null","8","null","null","0.35","null","null","null","19.12","19.12","5.4193","null",
"80425","null","Percy Harvin","WR","FA","WR","FA","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","1.95","null","null","null","114","null","null","0.32","null","null","null","1.95","1.95","8.5778","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","14.74","null","null","null","5","null","null","0.81","null","null","null","14.74","14.74","3.3734","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","PHI","QB","PHI","null","0.08","null","null","null","59","null","null","0.042","null","null","null","0.08","0.08","null","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","CHI","QB","CHI","null","16.59","null","null","null","20","null","null","0.12","null","null","null","16.59","16.59","5.6409","null",
"81306","null","Brandon Tate","WR","BUF","WR","BUF","null","0.32","null","null","null","143","null","null","0.01","null","null","null","0.32","0.32","null","null",
"81831","null","Brian Hartline","WR","FA","WR","FA","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"89798","null","Antone Smith","RB","NYJ","RB","NYJ","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","6.5","null","null","null","13","null","null","0.1","null","null","null","6.5","6.5","4.6636","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","6.6","null","null","null","11","null","null","0.05","null","null","null","6.6","6.6","3.136","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","5.6","null","null","null","20","null","null","0","null","null","null","5.6","5.6","2.3722","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","7.7","null","null","null","3","null","null","0.1","null","null","null","7.7","7.7","7.2096","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","5.4","null","null","null","24","null","null","0.75","null","null","null","5.4","5.4","9.501","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","4.4","null","null","null","26","null","null","0.8","null","null","null","4.4","4.4","6.4458","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","6.2","null","null","null","16","null","null","0.15","null","null","null","6.2","6.2","6.1912","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","4.9","null","null","null","25","null","null","0.75","null","null","null","4.9","4.9","6.955","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","7.5","null","null","null","5","null","null","0.2","null","null","null","7.5","7.5","1.6083","null",
"100010","null","Lions","DST","DET","DST","DET","null","5.6","null","null","null","20","null","null","0.05","null","null","null","5.6","5.6","5.4274","null",
"100011","null","Packers","DST","GB","DST","GB","null","5.8","null","null","null","19","null","null","0.2","null","null","null","5.8","5.8","3.8998","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","7.2","null","null","null","7","null","null","0.3","null","null","null","7.2","7.2","4.9182","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","7","null","null","null","8","null","null","0.25","null","null","null","7","7","4.6636","null",
"100014","null","Colts","DST","IND","DST","IND","null","6.8","null","null","null","9","null","null","0.15","null","null","null","6.8","6.8","2.8814","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","5.6","null","null","null","20","null","null","0.15","null","null","null","5.6","5.6","6.1912","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","6.1","null","null","null","17","null","null","0.2","null","null","null","6.1","6.1","5.4274","null",
"100017","null","Rams","DST","LA","DST","LA","null","7.8","null","null","null","2","null","null","0.1","null","null","null","7.8","7.8","2.8814","null",
"100018","null","Raiders","DST","OAK","DST","OAK","null","6.4","null","null","null","14","null","null","0.1","null","null","null","6.4","6.4","5.682","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","3.9","null","null","null","27","null","null","0.6","null","null","null","3.9","3.9","9.2464","null",
"100021","null","Patriots","DST","NE","DST","NE","null","7.7","null","null","null","3","null","null","0.25","null","null","null","7.7","7.7","2.1176","null",
"100022","null","Saints","DST","NO","DST","NO","null","5.5","null","null","null","23","null","null","0.35","null","null","null","5.5","5.5","6.1912","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","6.4","null","null","null","14","null","null","0.25","null","null","null","6.4","6.4","3.6452","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","8","null","null","null","1","null","null","0.25","null","null","null","8","8","3.3906","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","7.4","null","null","null","6","null","null","0.3","null","null","null","7.4","7.4","2.6268","null",
"100028","null","Chargers","DST","SD","DST","SD","null","6","null","null","null","18","null","null","0.3","null","null","null","6","6","5.9366","null",
"100029","null","49ers","DST","SF","DST","SF","null","3.3","null","null","null","28","null","null","null","null","null","null","3.3","3.3","6.4458","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","6.6","null","null","null","11","null","null","0.15","null","null","null","6.6","6.6","4.9182","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","6.7","null","null","null","10","null","null","0.1","null","null","null","6.7","6.7","5.4274","null",
"163982","null","Will Johnson","RB","NYG","RB","NYG","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","null","8.05","null","null","null","10","null","null","0.555","null","null","null","8.05","8.05","null","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","11.47","null","null","null","23","null","null","0.235","null","null","null","11.47","11.47","null","null",
"497108","null","Jimmy Clausen","QB","FA","QB","FA","null","0","null","null","null","61","null","null","0","null","null","null","0","0","null","null",
"497121","null","Thad Lewis","QB","SF","QB","SF","null","0","null","null","null","61","null","null","0","null","null","null","0","0","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","0.124","null","null","null","37","null","null","0.002","null","null","null","0.124","0.124","null","null",
"497145","null","Joique Bell","RB","CHI","RB","CHI","null","1.74","null","null","null","74","null","null","0.075","null","null","null","1.74","1.74","8.6548","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","14.07","null","null","null","8","null","null","0.285","null","null","null","14.07","14.07","null","null",
"497172","null","Anthony Dixon","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"497176","null","Toby Gerhart","RB","FA","RB","FA","null","0","null","null","null","99","null","null","0","null","null","null","0","0","null","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","null","11.36","null","null","null","15","null","null","0.31","null","null","null","11.36","11.36","null","null",
"497190","null","Dexter McCluster","RB","SD","RB","SD","null","2.6","null","null","null","67","null","null","0.085","null","null","null","2.6","2.6","null","null",
"497204","null","C.J. Spiller","RB","SEA","RB","SEA","null","3.34","null","null","null","57","null","null","0.035","null","null","null","3.34","3.34","4.6478","null",
"497206","null","James Starks","RB","GB","RB","GB","null","4.6","null","null","null","49","null","null","0.41","null","null","null","4.6","4.6","null","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","2.19","null","null","null","44","null","null","0.045","null","null","null","2.19","2.19","null","null",
"497226","null","Jim Dray","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497234","null","Garrett Graham","TE","DEN","TE","DEN","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","8.99","null","null","null","5","null","null","0.375","null","null","null","8.99","8.99","null","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","2.05","null","null","null","47","null","null","0.045","null","null","null","2.05","2.05","5.809","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","11.59","null","null","null","3","null","null","2.415","null","null","null","11.59","11.59","null","null",
"497242","null","Clay Harbor","TE","DET","TE","DET","null","0","null","null","null","77","null","null","0","null","null","null","0","0","8.5964","null",
"497246","null","Michael Hoomanawanui","TE","NO","TE","NO","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497250","null","Anthony McCoy","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","8.53","null","null","null","7","null","null","0.39","null","null","null","8.53","8.53","3.8578","null",
"497256","null","Tony Moeaki","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497258","null","Andrew Quarless","TE","FA","TE","FA","null","0","null","null","null","77","null","null","0","null","null","null","0","0","null","null",
"497260","null","Seyi Ajirotutu","WR","PHI","WR","PHI","null","0.3","null","null","null","145","null","null","0.3","null","null","null","0.3","0.3","null","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","0.39","null","null","null","135","null","null","0.005","null","null","null","0.39","0.39","null","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"497282","null","Riley Cooper","WR","FA","WR","FA","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"497286","null","Marcus Easley","WR","BUF","WR","BUF","null","0","null","null","null","146","null","null","0","null","null","null","0","0","null","null",
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","null","7.4","null","null","null","57","null","null","0.205","null","null","null","7.4","7.4","4.2762","null",
"497320","null","Andre Roberts","WR","DET","WR","DET","null","1","null","null","null","118","null","null","0.07","null","null","null","1","1","4.5949","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","13.12","null","null","null","12","null","null","0.19","null","null","null","13.12","13.12","3.8514","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","10.67","null","null","null","28","null","null","0.37","null","null","null","10.67","10.67","5.0197","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","12.33","null","null","null","17","null","null","0.11","null","null","null","12.33","12.33","3.0548","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","null","61","null","null","0","null","null","null","0","0","null","null",
"1037885","null","Marc Mariani","WR","TEN","WR","TEN","null","0.6","null","null","null","128","null","null","0.03","null","null","null","0.6","0.6","null","null",
