playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"206","null","Andre Caldwell","WR","DET","WR","DET","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","1.97","null","null","null","112","null","null","0.2","null","null","null","1.97","1.97","5.3432","null",
"230","null","Jerome Felton","RB","FA","RB","FA","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","11.99","null","null","null","11","null","null","0.075","null","null","null","11.99","11.99","3.9253","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.176","null","null","null","51","null","null","0.02","null","null","null","0.176","0.176","null","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","2.53","null","null","null","69","null","null","0.08","null","null","null","2.53","2.53","3.9916","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","15.11","null","null","null","26","null","null","0.6","null","null","null","15.11","15.11","6.5769","null",
"318","null","Jerome Simpson","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","4.87","null","null","null","27","null","null","0.355","null","null","null","4.87","4.87","5.1997","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","17.86","null","null","null","11","null","null","0.27","null","null","null","17.86","17.86","8.2002","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","8.76","null","null","null","35","null","null","0.46","null","null","null","8.76","8.76","4.5553","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","11.34","null","null","null","17","null","null","0.16","null","null","null","11.34","11.34","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","12.19","null","null","null","19","null","null","0.01","null","null","null","12.19","12.19","3.1491","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","8.28","null","null","null","9","null","null","0.275","null","null","null","8.28","8.28","3.1797","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","8.12","null","null","null","10","null","null","0.265","null","null","null","8.12","8.12","5.0773","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","10.06","null","null","null","36","null","null","0.13","null","null","null","10.06","10.06","4.4537","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","6.96","null","null","null","63","null","null","0.04","null","null","null","6.96","6.96","6.3512","null",
"1992","null","Craig Stevens","TE","FA","TE","FA","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","7.11","null","null","null","61","null","null","0.075","null","null","null","7.11","7.11","3.92","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","3.9","null","null","null","94","null","null","0.11","null","null","null","3.9","3.9","5.2246","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","11.44","null","null","null","16","null","null","0.155","null","null","null","11.44","11.44","4.0911","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","4.36","null","null","null","54","null","null","0.185","null","null","null","4.36","4.36","4.92","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"71217","null","Kenny Britt","WR","LA","WR","LA","null","5.04","null","null","null","84","null","null","0.155","null","null","null","5.04","5.04","7.5965","null",
"71255","null","Chase Coffman","TE","IND","TE","IND","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","GB","TE","GB","null","7","null","null","null","14","null","null","0.23","null","null","null","7","7","4.2815","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","10.97","null","null","null","32","null","null","0.555","null","null","null","10.97","10.97","3.6235","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","11.9","null","null","null","13","null","null","0.24","null","null","null","11.9","11.9","4.3563","null",
"71417","null","Jordan Norwood","WR","DEN","WR","DEN","null","1.59","null","null","null","114","null","null","0.085","null","null","null","1.59","1.59","null","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"71435","null","John Phillips","TE","DEN","TE","DEN","null","0.28","null","null","null","82","null","null","0.15","null","null","null","0.28","0.28","null","null",
"79555","null","Arian Foster","RB","MIA","RB","MIA","null","11.07","null","null","null","20","null","null","0.08","null","null","null","11.07","11.07","null","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","PIT","TE","PIT","null","0.5","null","null","null","70","null","null","0.045","null","null","null","0.5","0.5","10.464","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","11.03","null","null","null","21","null","null","0.08","null","null","null","11.03","11.03","4.0911","null",
"79625","null","Bear Pascoe","TE","NE","TE","NE","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"79858","null","Mark Sanchez","QB","DAL","QB","DAL","null","1.624","null","null","null","33","null","null","0.124","null","null","null","1.624","1.624","3.9796","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","20.76","null","null","null","2","null","null","0.585","null","null","null","20.76","20.76","5.4406","null",
"80425","null","Percy Harvin","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","2.03","null","null","null","111","null","null","0.07","null","null","null","2.03","2.03","3.8014","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","12.39","null","null","null","17","null","null","0.165","null","null","null","12.39","12.39","null","null",
"80670","null","Louis Murphy","WR","TB","WR","TB","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","PHI","QB","PHI","null","0.156","null","null","null","52","null","null","0.001","null","null","null","0.156","0.156","2.5187","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","CHI","QB","CHI","null","0.216","null","null","null","44","null","null","0.019","null","null","null","0.216","0.216","null","null",
"81306","null","Brandon Tate","WR","BUF","WR","BUF","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"81831","null","Brian Hartline","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","0","null","null","null","84","null","null","0","null","null","null","0","0","3.1797","null",
"89798","null","Antone Smith","RB","NYJ","RB","NYJ","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","6.1","null","null","null","22","null","null","0.05","null","null","null","6.1","6.1","6.193","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","6.7","null","null","null","15","null","null","0.05","null","null","null","6.7","6.7","3.807","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","5.4","null","null","null","27","null","null","0.15","null","null","null","5.4","5.4","6.193","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","9.4","null","null","null","1","null","null","0.8","null","null","null","9.4","9.4","0.8244","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","7.4","null","null","null","7","null","null","0.15","null","null","null","7.4","7.4","4.8509","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","6.6","null","null","null","17","null","null","0","null","null","null","6.6","6.6","7.5352","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","5.2","null","null","null","29","null","null","1.2","null","null","null","5.2","5.2","4.5526","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","9.2","null","null","null","2","null","null","1.3","null","null","null","9.2","9.2","2.9122","null",
"100010","null","Lions","DST","DET","DST","DET","null","7.1","null","null","null","12","null","null","0.15","null","null","null","7.1","7.1","5.1491","null",
"100011","null","Packers","DST","GB","DST","GB","null","7.5","null","null","null","6","null","null","0.15","null","null","null","7.5","7.5","4.5526","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","6.1","null","null","null","23","null","null","0.2","null","null","null","6.1","6.1","6.0439","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","5.6","null","null","null","26","null","null","0.25","null","null","null","5.6","5.6","3.6578","null",
"100014","null","Colts","DST","IND","DST","IND","null","7","null","null","null","13","null","null","0.2","null","null","null","7","7","8.43","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","6.6","null","null","null","17","null","null","0.1","null","null","null","6.6","6.6","4.4035","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","7.1","null","null","null","11","null","null","0.05","null","null","null","7.1","7.1","4.1052","null",
"100017","null","Rams","DST","LA","DST","LA","null","6.7","null","null","null","15","null","null","0.1","null","null","null","6.7","6.7","5.8948","null",
"100018","null","Raiders","DST","OAK","DST","OAK","null","8","null","null","null","3","null","null","0.3","null","null","null","8","8","5.7456","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","5.3","null","null","null","28","null","null","0.7","null","null","null","5.3","5.3","4.5526","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","6","null","null","null","24","null","null","0.3","null","null","null","6","6","4.2544","null",
"100021","null","Patriots","DST","NE","DST","NE","null","7.3","null","null","null","8","null","null","0.1","null","null","null","7.3","7.3","3.5087","null",
"100022","null","Saints","DST","NO","DST","NO","null","6.6","null","null","null","17","null","null","0.3","null","null","null","6.6","6.6","1.7192","null",
"100023","null","Giants","DST","NYG","DST","NYG","null","7.8","null","null","null","4","null","null","0.25","null","null","null","7.8","7.8","6.0439","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","7.2","null","null","null","9","null","null","0.05","null","null","null","7.2","7.2","7.8334","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","7.6","null","null","null","5","null","null","0.15","null","null","null","7.6","7.6","3.5087","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","6.9","null","null","null","14","null","null","0.2","null","null","null","6.9","6.9","4.2544","null",
"100028","null","Chargers","DST","SD","DST","SD","null","6.4","null","null","null","20","null","null","0.25","null","null","null","6.4","6.4","9.4739","null",
"100029","null","49ers","DST","SF","DST","SF","null","4","null","null","null","30","null","null","null","null","null","null","4","4","6.193","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","7.2","null","null","null","9","null","null","0.1","null","null","null","7.2","7.2","1.1227","null",
"100031","null","Buccaneers","DST","TB","DST","TB","null","5.8","null","null","null","25","null","null","0.3","null","null","null","5.8","5.8","6.0439","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","6.2","null","null","null","21","null","null","0.1","null","null","null","6.2","6.2","6.6404","null",
"163982","null","Will Johnson","RB","NYG","RB","NYG","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","null","7.89","null","null","null","11","null","null","0.415","null","null","null","7.89","7.89","8.3827","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","14.02","null","null","null","7","null","null","0.24","null","null","null","14.02","14.02","3.2084","null",
"497095","null","Sam Bradford","QB","MIN","QB","MIN","null","11.1","null","null","null","31","null","null","6.033","null","null","null","11.1","11.1","3.3303","null",
"497108","null","Jimmy Clausen","QB","FA","QB","FA","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"497121","null","Thad Lewis","QB","SF","QB","SF","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","0.192","null","null","null","48","null","null","0.008","null","null","null","0.192","0.192","null","null",
"497145","null","Joique Bell","RB","FA","RB","FA","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","11.93","null","null","null","12","null","null","0.05","null","null","null","11.93","11.93","4.8537","null",
"497172","null","Anthony Dixon","RB","FA","RB","FA","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"497176","null","Toby Gerhart","RB","FA","RB","FA","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","null","10.95","null","null","null","22","null","null","0.055","null","null","null","10.95","10.95","4.0911","null",
"497190","null","Dexter McCluster","RB","FA","RB","FA","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"497204","null","C.J. Spiller","RB","NO","RB","NO","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"497206","null","James Starks","RB","GB","RB","GB","null","5.53","null","null","null","48","null","null","0.07","null","null","null","5.53","5.53","3.5274","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","2.15","null","null","null","44","null","null","0.02","null","null","null","2.15","2.15","4.7712","null",
"497226","null","Jim Dray","TE","BUF","TE","BUF","null","0.67","null","null","null","65","null","null","0.04","null","null","null","0.67","0.67","null","null",
"497234","null","Garrett Graham","TE","DEN","TE","DEN","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","5.46","null","null","null","24","null","null","0.355","null","null","null","5.46","5.46","null","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","2.32","null","null","null","41","null","null","0.075","null","null","null","2.32","2.32","4.3427","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"497242","null","Clay Harbor","TE","NE","TE","NE","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"497246","null","Michael Hoomanawanui","TE","NO","TE","NO","null","0.88","null","null","null","59","null","null","0.08","null","null","null","0.88","0.88","null","null",
"497250","null","Anthony McCoy","TE","SEA","TE","SEA","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","6.64","null","null","null","17","null","null","0.19","null","null","null","6.64","6.64","5.5058","null",
"497256","null","Tony Moeaki","TE","FA","TE","FA","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"497258","null","Andrew Quarless","TE","DET","TE","DET","null","0","null","null","null","84","null","null","0","null","null","null","0","0","null","null",
"497260","null","Seyi Ajirotutu","WR","PHI","WR","PHI","null","0.32","null","null","null","149","null","null","0.03","null","null","null","0.32","0.32","null","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","13.76","null","null","null","9","null","null","0.26","null","null","null","13.76","13.76","5.8175","null",
"497282","null","Riley Cooper","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","null","11.37","null","null","null","27","null","null","0.23","null","null","null","11.37","11.37","4.0386","null",
"497286","null","Marcus Easley","WR","BUF","WR","BUF","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","null","6.87","null","null","null","66","null","null","0.025","null","null","null","6.87","6.87","5.3432","null",
"497320","null","Andre Roberts","WR","DET","WR","DET","null","2.53","null","null","null","105","null","null","0.03","null","null","null","2.53","2.53","6.3512","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","9.88","null","null","null","38","null","null","0.1","null","null","null","9.88","9.88","4.8095","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","12.18","null","null","null","20","null","null","0.21","null","null","null","12.18","12.18","4.5723","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","11.68","null","null","null","25","null","null","0.255","null","null","null","11.68","11.68","null","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"1037885","null","Marc Mariani","WR","TEN","WR","TEN","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","6.45","null","null","null","18","null","null","0.19","null","null","null","6.45","6.45","null","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","18.42","null","null","null","9","null","null","0.445","null","null","null","18.42","18.42","7.0639","null",
"2495158","null","Leonard Hankerson","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","1.41","null","null","null","118","null","null","0.18","null","null","null","1.41","1.41","3.8014","null",
"2495161","null","Roy Helu","RB","FA","RB","FA","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"2495172","null","Kendall Hunter","RB","NO","RB","NO","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"2495181","null","Jerrod Johnson","QB","DAL","QB","DAL","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","1.55","null","null","null","34","null","null","0.6","null","null","null","1.55","1.55","4.7913","null",
"2495187","null","Lance Kendricks","TE","LA","TE","LA","null","4.4","null","null","null","30","null","null","0.34","null","null","null","4.4","4.4","3.3633","null",
"2495189","null","Jeremy Kerley","WR","SF","WR","SF","null","6.21","null","null","null","76","null","null","0.505","null","null","null","6.21","6.21","6.707","null",
"2495192","null","Greg Little","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495207","null","DeMarco Murray","RB","TEN","RB","TEN","null","10.95","null","null","null","22","null","null","0.275","null","null","null","10.95","10.95","4.5553","null",
"2495211","null","Niles Paul","TE","WAS","TE","WAS","null","0.32","null","null","null","77","null","null","0.01","null","null","null","0.32","0.32","1.9554","null",
"2495215","null","Christian Ponder","QB","SF","QB","SF","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"2495223","null","Greg Salas","WR","BUF","WR","BUF","null","0","null","null","null","153","null","null","0","null","null","null","0","0","11.2729","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.29","null","null","null","81","null","null","0.02","null","null","null","0.29","0.29","null","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","15.15","null","null","null","25","null","null","0.33","null","null","null","15.15","15.15","5.9276","null",
"2495241","null","Daniel Thomas","RB","FA","RB","FA","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","1.16","null","null","null","87","null","null","0.22","null","null","null","1.16","1.16","5.948","null",
"2495267","null","Jordan Cameron","TE","MIA","TE","MIA","null","6.65","null","null","null","16","null","null","0.105","null","null","null","6.65","6.65","null","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","5.85","null","null","null","21","null","null","0.03","null","null","null","5.85","5.85","4.2815","null",
"2495306","null","Ricardo Lockette","WR","FA","WR","FA","null","0","null","null","null","153","null","null","0","null","null","null","0","0","null","null",
"2495314","null","Bruce Miller","RB","FA","RB","FA","null","0","null","null","null","112","null","null","0","null","null","null","0","0","null","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","7.42","null","null","null","43","null","null","0.83","null","null","null","7.42","7.42","3.461","null",
