playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"100001","null","Falcons","DST","ATL","DST","ATL","null","4","null","null","null","14","null","null","0","null","null","null","4","4","7.8849","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","12","null","null","null","1","null","null","0","null","null","null","12","12","4.7695","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","2","null","null","null","24","null","null","0","null","null","null","2","2","5.4371","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","6","null","null","null","7","null","null","0","null","null","null","6","6","7.4399","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","1","null","null","null","27","null","null","0","null","null","null","1","1","4.547","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","11","null","null","null","5","null","null","3","null","null","null","11","11","5.2146","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","3","null","null","null","22","null","null","0.5","null","null","null","3","3","5.2146","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","1","null","null","null","27","null","null","null","null","null","null","1","1","4.7695","null",
"100011","null","Packers","DST","GB","DST","GB","null","4","null","null","null","14","null","null","0","null","null","null","4","4","5.2146","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","2","null","null","null","24","null","null","0.5","null","null","null","2","2","7.2173","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","6","null","null","null","7","null","null","0","null","null","null","6","6","4.1019","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","6","null","null","null","7","null","null","0","null","null","null","6","6","4.9921","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","2","null","null","null","24","null","null","1","null","null","null","2","2","3.4343","null",
"100017","null","Rams","DST","LA","DST","LA","null","10","null","null","null","6","null","null","4","null","null","null","10","10","3.4343","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","4","null","null","null","14","null","null","0","null","null","null","4","4","5.8822","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","4","null","null","null","14","null","null","0","null","null","null","4","4","3.4343","null",
"100021","null","Patriots","DST","NE","DST","NE","null","4","null","null","null","14","null","null","0","null","null","null","4","4","3.8794","null",
