playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","6.02","null","null","null","21","null","null","0.12","null","null","null","6.02","6.02","5.3569","null",
"497242","null","Clay Harbor","TE","DET","TE","DET","null","1.11","null","null","null","62","null","null","0.155","null","null","null","1.11","1.11","null","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","6.75","null","null","null","17","null","null","0.505","null","null","null","6.75","6.75","4.1672","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","1.87","null","null","null","133","null","null","0.045","null","null","null","1.87","1.87","7.541","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","12.61","null","null","null","8","null","null","0.05","null","null","null","12.61","12.61","2.419","null",
"497302","null","Brandon LaFell","WR","CIN","WR","CIN","null","9.02","null","null","null","43","null","null","0.185","null","null","null","9.02","9.02","5.5368","null",
"497320","null","Andre Roberts","WR","DET","WR","DET","null","2.16","null","null","null","129","null","null","0.135","null","null","null","2.16","2.16","8.2648","null",
"497322","null","Emmanuel Sanders","WR","DEN","WR","DEN","null","12.32","null","null","null","12","null","null","0.205","null","null","null","12.32","12.32","3.1427","null",
"497326","null","Golden Tate","WR","DET","WR","DET","null","10.55","null","null","null","26","null","null","0.55","null","null","null","10.55","10.55","2.92","null",
"497328","null","Demaryius Thomas","WR","DEN","WR","DEN","null","12.12","null","null","null","13","null","null","0.04","null","null","null","12.12","12.12","2.9757","null",
"1037347","null","Joe Webb","QB","CAR","QB","CAR","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"1037885","null","Marc Mariani","WR","TEN","WR","TEN","null","0.36","null","null","null","160","null","null","0.06","null","null","null","0.36","0.36","null","null",
"2495139","null","Charles Clay","TE","BUF","TE","BUF","null","6.09","null","null","null","20","null","null","0.095","null","null","null","6.09","6.09","4.0879","null",
"2495143","null","Andy Dalton","QB","CIN","QB","CIN","null","17.64","null","null","null","10","null","null","0.169","null","null","null","17.64","17.64","4.3097","null",
"2495159","null","Dwayne Harris","WR","NYG","WR","NYG","null","0.23","null","null","null","166","null","null","0.025","null","null","null","0.23","0.23","4.4789","null",
"2495186","null","Colin Kaepernick","QB","SF","QB","SF","null","16.376","null","null","null","18","null","null","0.298","null","null","null","16.376","16.376","9.1717","null",
"2495187","null","Lance Kendricks","TE","LA","TE","LA","null","7.01","null","null","null","15","null","null","0.205","null","null","null","7.01","7.01","3.7707","null",
"2495189","null","Jeremy Kerley","WR","SF","WR","SF","null","6.17","null","null","null","77","null","null","0.065","null","null","null","6.17","6.17","4.2006","null",
"2495207","null","DeMarco Murray","RB","TEN","RB","TEN","null","15.67","null","null","null","4","null","null","0.205","null","null","null","15.67","15.67","4.2605","null",
"2495215","null","Christian Ponder","QB","SF","QB","SF","null","0","null","null","null","65","null","null","0","null","null","null","0","0","null","null",
"2495234","null","Luke Stocker","TE","TB","TE","TB","null","0.52","null","null","null","70","null","null","0.04","null","null","null","0.52","0.52","null","null",
"2495240","null","Tyrod Taylor","QB","BUF","QB","BUF","null","16.864","null","null","null","15","null","null","0.055","null","null","null","16.864","16.864","4.3097","null",
"2495258","null","Matt Asiata","RB","MIN","RB","MIN","null","8.32","null","null","null","33","null","null","0.42","null","null","null","8.32","8.32","3.7145","null",
"2495288","null","Virgil Green","TE","DEN","TE","DEN","null","2.95","null","null","null","39","null","null","0.27","null","null","null","2.95","2.95","3.7707","null",
"2495328","null","Bilal Powell","RB","NYJ","RB","NYJ","null","8.5","null","null","null","32","null","null","0.23","null","null","null","8.5","8.5","4.1825","null",
"2495331","null","Aldrick Robinson","WR","ATL","WR","ATL","null","2.5","null","null","null","124","null","null","0.095","null","null","null","2.5","2.5","7.4854","null",
"2495340","null","Anthony Sherman","RB","KC","RB","KC","null","0.26","null","null","null","104","null","null","0.03","null","null","null","0.26","0.26","null","null",
"2495353","null","Julius Thomas","TE","JAC","TE","JAC","null","5.31","null","null","null","26","null","null","0.075","null","null","null","5.31","5.31","5.4362","null",
"2495425","null","Scott Tolzien","QB","IND","QB","IND","null","0.064","null","null","null","52","null","null","0.004","null","null","null","0.064","0.064","null","null",
"2495438","null","Kyle Rudolph","TE","MIN","TE","MIN","null","7.45","null","null","null","14","null","null","0.515","null","null","null","7.45","7.45","5.9121","null",
"2495441","null","Blaine Gabbert","QB","SF","QB","SF","null","0.102","null","null","null","42","null","null","0.006","null","null","null","0.102","0.102","7.551","null",
