playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"206","null","Andre Caldwell","WR","DET","WR","DET","null","0","null","null","null","123","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","0.44","null","null","null","115","null","null","0.055","null","null","null","0.44","0.44","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0","null","null","null","83","null","null","0","null","null","null","0","0","5.7412","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","13.83","null","null","null","5","null","null","0.135","null","null","null","13.83","13.83","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.092","null","null","null","41","null","null","0","null","null","null","0.092","0.092","null","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","0","null","null","null","83","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","null","83","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","20.28","null","null","null","1","null","null","0.375","null","null","null","20.28","20.28","2.079","null",
"318","null","Jerome Simpson","WR","FA","WR","FA","null","0","null","null","null","123","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","4.79","null","null","null","24","null","null","0.815","null","null","null","4.79","4.79","6.1555","null",
"367","null","Matt Flynn","QB","NO","QB","NO","null","0","null","null","null","52","null","null","0","null","null","null","0","0","null","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","0","null","null","null","123","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","null","83","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","DET","RB","DET","null","0.66","null","null","null","71","null","null","0.015","null","null","null","0.66","0.66","9.0529","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","9.81","null","null","null","19","null","null","0.08","null","null","null","9.81","9.81","3.4231","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","13.64","null","null","null","7","null","null","0.325","null","null","null","13.64","13.64","3.8779","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","8.38","null","null","null","8","null","null","0.13","null","null","null","8.38","8.38","4.4994","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","6.18","null","null","null","20","null","null","0.385","null","null","null","6.18","6.18","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","10.35","null","null","null","28","null","null","0.145","null","null","null","10.35","10.35","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","7.56","null","null","null","47","null","null","0.105","null","null","null","7.56","7.56","null","null",
"1992","null","Craig Stevens","TE","FA","TE","FA","null","0","null","null","null","70","null","null","0","null","null","null","0","0","null","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","7.92","null","null","null","42","null","null","0.05","null","null","null","7.92","7.92","3.8779","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","5.91","null","null","null","61","null","null","0.035","null","null","null","5.91","5.91","5.9249","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","0","null","null","null","83","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","3.22","null","null","null","53","null","null","0.54","null","null","null","3.22","3.22","5.4929","null",
"4433","null","Marcel Reece","RB","FA","RB","FA","null","0","null","null","null","83","null","null","0","null","null","null","0","0","null","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0","null","null","null","123","null","null","0","null","null","null","0","0","null","null",
"71255","null","Chase Coffman","TE","IND","TE","IND","null","0","null","null","null","70","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","GB","TE","GB","null","0","null","null","null","70","null","null","0","null","null","null","0","0","null","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","10.09","null","null","null","31","null","null","0.1","null","null","null","10.09","10.09","3.0591","null",
"71417","null","Jordan Norwood","WR","DEN","WR","DEN","null","2.29","null","null","null","91","null","null","0.06","null","null","null","2.29","2.29","6.0273","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","0","null","null","null","70","null","null","0","null","null","null","0","0","null","null",
"71435","null","John Phillips","TE","DEN","TE","DEN","null","0.99","null","null","null","41","null","null","0.055","null","null","null","0.99","0.99","0.4346","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","null","52","null","null","0","null","null","null","0","0","null","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","0","null","null","null","83","null","null","0","null","null","null","0","0","null","null",
"79625","null","Bear Pascoe","TE","NE","TE","NE","null","0","null","null","null","70","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0","null","null","null","83","null","null","0","null","null","null","0","0","null","null",
"79858","null","Mark Sanchez","QB","DAL","QB","DAL","null","0","null","null","null","52","null","null","0","null","null","null","0","0","null","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","16.78","null","null","null","15","null","null","0.435","null","null","null","16.78","16.78","5.8228","null",
"80425","null","Percy Harvin","WR","FA","WR","FA","null","0","null","null","null","123","null","null","0","null","null","null","0","0","null","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","11.81","null","null","null","16","null","null","0.165","null","null","null","11.81","11.81","3.2638","null",
"80670","null","Louis Murphy","WR","TB","WR","TB","null","0","null","null","null","123","null","null","0","null","null","null","0","0","null","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","null","123","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","PHI","QB","PHI","null","0.08","null","null","null","49","null","null","0.002","null","null","null","0.08","0.08","null","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","null","123","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","CHI","QB","CHI","null","0","null","null","null","52","null","null","0","null","null","null","0","0","null","null",
"81306","null","Brandon Tate","WR","BUF","WR","BUF","null","2.48","null","null","null","89","null","null","0.16","null","null","null","2.48","2.48","3.7756","null",
"81831","null","Brian Hartline","WR","FA","WR","FA","null","0","null","null","null","123","null","null","0","null","null","null","0","0","null","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","0.48","null","null","null","54","null","null","0.07","null","null","null","0.48","0.48","5.1016","null",
"89798","null","Antone Smith","RB","TB","RB","TB","null","2.19","null","null","null","60","null","null","0.18","null","null","null","2.19","2.19","5.824","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","6.7","null","null","null","11","null","null","0.15","null","null","null","6.7","6.7","6.358","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","5.5","null","null","null","20","null","null","0.2","null","null","null","5.5","5.5","9.731","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","8.5","null","null","null","4","null","null","0.25","null","null","null","8.5","8.5","6.8398","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","6.8","null","null","null","10","null","null","0.15","null","null","null","6.8","6.8","5.6352","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","5.1","null","null","null","22","null","null","null","null","null","null","5.1","5.1","6.358","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","8.3","null","null","null","5","null","null","0.25","null","null","null","8.3","8.3","1.0575","null",
"100010","null","Lions","DST","DET","DST","DET","null","6.9","null","null","null","9","null","null","0.15","null","null","null","6.9","6.9","4.6715","null",
"100011","null","Packers","DST","GB","DST","GB","null","6.3","null","null","null","15","null","null","0.15","null","null","null","6.3","6.3","5.1533","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","8.9","null","null","null","3","null","null","0.5","null","null","null","8.9","8.9","4.9124","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","6.6","null","null","null","12","null","null","0.1","null","null","null","6.6","6.6","3.4668","null",
"100014","null","Colts","DST","IND","DST","IND","null","5.8","null","null","null","18","null","null","0.15","null","null","null","5.8","5.8","3.4668","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","5.5","null","null","null","20","null","null","0.4","null","null","null","5.5","5.5","4.9124","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","7.7","null","null","null","8","null","null","0.85","null","null","null","7.7","7.7","4.9124","null",
"100018","null","Raiders","DST","OAK","DST","OAK","null","6.5","null","null","null","13","null","null","0.1","null","null","null","6.5","6.5","5.3942","null",
"100021","null","Patriots","DST","NE","DST","NE","null","8.2","null","null","null","6","null","null","0.4","null","null","null","8.2","8.2","2.2622","null",
"100022","null","Saints","DST","NO","DST","NO","null","6.5","null","null","null","13","null","null","0.2","null","null","null","6.5","6.5","6.117","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","6.3","null","null","null","15","null","null","0.4","null","null","null","6.3","6.3","3.7077","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","6","null","null","null","17","null","null","0.2","null","null","null","6","6","6.117","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","9","null","null","null","2","null","null","0.3","null","null","null","9","9","1.7803","null",
"100028","null","Chargers","DST","SD","DST","SD","null","5.8","null","null","null","18","null","null","0.3","null","null","null","5.8","5.8","8.2854","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","9.2","null","null","null","1","null","null","0.25","null","null","null","9.2","9.2","4.6715","null",
"100031","null","Buccaneers","DST","TB","DST","TB","null","7.9","null","null","null","7","null","null","0.6","null","null","null","7.9","7.9","4.1896","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","null","7.76","null","null","null","14","null","null","0.065","null","null","null","7.76","7.76","5.7038","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","10.66","null","null","null","24","null","null","0.06","null","null","null","10.66","10.66","null","null",
"497095","null","Sam Bradford","QB","MIN","QB","MIN","null","14.91","null","null","null","25","null","null","7.376","null","null","null","14.91","14.91","4.3829","null",
"497108","null","Jimmy Clausen","QB","FA","QB","FA","null","0","null","null","null","52","null","null","0","null","null","null","0","0","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","0.12","null","null","null","28","null","null","0.008","null","null","null","0.12","0.12","null","null",
"497145","null","Joique Bell","RB","CHI","RB","CHI","null","0","null","null","null","83","null","null","0","null","null","null","0","0","null","null",
