playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"100002","null","Ravens","DST","BAL","DST","BAL","null","7.6","null","null","null","11","null","null","0.4","null","null","null","7.6","7.6","4.7179","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","7.2","null","null","null","12","null","null","0","null","null","null","7.2","7.2","5.365","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","6.4","null","null","null","17","null","null","0.15","null","null","null","6.4","6.4","7.3062","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","5.8","null","null","null","23","null","null","0.45","null","null","null","5.8","5.8","5.1493","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","9.2","null","null","null","1","null","null","0.1","null","null","null","9.2","9.2","5.1493","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","6","null","null","null","21","null","null","0.1","null","null","null","6","6","4.7179","null",
"100011","null","Packers","DST","GB","DST","GB","null","6","null","null","null","21","null","null","0.25","null","null","null","6","6","5.1493","null",
"100012","null","Titans","DST","TEN","DST","TEN","null","6.2","null","null","null","19","null","null","0.1","null","null","null","6.2","6.2","7.0905","null",
"100013","null","Texans","DST","HOU","DST","HOU","null","7.2","null","null","null","12","null","null","0.15","null","null","null","7.2","7.2","4.0709","null",
"100015","null","Jaguars","DST","JAC","DST","JAC","null","6.2","null","null","null","19","null","null","0.2","null","null","null","6.2","6.2","4.9336","null",
"100016","null","Chiefs","DST","KC","DST","KC","null","7.9","null","null","null","8","null","null","0.05","null","null","null","7.9","7.9","3.4238","null",
"100017","null","Rams","DST","LA","DST","LA","null","9","null","null","null","3","null","null","0.6","null","null","null","9","9","3.4238","null",
"100019","null","Dolphins","DST","MIA","DST","MIA","null","7.8","null","null","null","10","null","null","0.4","null","null","null","7.8","7.8","5.7964","null",
"100020","null","Vikings","DST","MIN","DST","MIN","null","8.3","null","null","null","5","null","null","0.2","null","null","null","8.3","8.3","3.4238","null",
"100021","null","Patriots","DST","NE","DST","NE","null","7.9","null","null","null","8","null","null","0.2","null","null","null","7.9","7.9","3.8552","null",
"100022","null","Saints","DST","NO","DST","NO","null","7.2","null","null","null","12","null","null","0.45","null","null","null","7.2","7.2","5.5807","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","null","8.2","null","null","null","6","null","null","0.25","null","null","null","8.2","8.2","3.8552","null",
"100025","null","Eagles","DST","PHI","DST","PHI","null","8.5","null","null","null","4","null","null","0.25","null","null","null","8.5","8.5","4.9336","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","null","9.2","null","null","null","2","null","null","0.45","null","null","null","9.2","9.2","-0.4586","null",
"100027","null","Steelers","DST","PIT","DST","PIT","null","5","null","null","null","25","null","null","0.4","null","null","null","5","5","4.9336","null",
"100028","null","Chargers","DST","SD","DST","SD","null","8","null","null","null","7","null","null","0.1","null","null","null","8","8","7.7376","null",
"100029","null","49ers","DST","SF","DST","SF","null","4.6","null","null","null","26","null","null","null","null","null","null","4.6","4.6","0.6199","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","null","5.7","null","null","null","24","null","null","0.9","null","null","null","5.7","5.7","7.0905","null",
"100031","null","Buccaneers","DST","TB","DST","TB","null","6.9","null","null","null","15","null","null","0.4","null","null","null","6.9","6.9","7.0905","null",
"100032","null","Redskins","DST","WAS","DST","WAS","null","6.3","null","null","null","18","null","null","0.1","null","null","null","6.3","6.3","7.3062","null",
"163982","null","Will Johnson","RB","NYG","RB","NYG","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"238457","null","Zach Miller","TE","CHI","TE","CHI","null","8.78","null","null","null","7","null","null","0.275","null","null","null","8.78","8.78","4.2673","null",
"238498","null","Julian Edelman","WR","NE","WR","NE","null","11.69","null","null","null","15","null","null","0.26","null","null","null","11.69","11.69","null","null",
"497095","null","Sam Bradford","QB","MIN","QB","MIN","null","13.72","null","null","null","25","null","null","0.38","null","null","null","13.72","13.72","3.4502","null",
"497108","null","Jimmy Clausen","QB","FA","QB","FA","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"497121","null","Thad Lewis","QB","SF","QB","SF","null","0","null","null","null","57","null","null","0","null","null","null","0","0","null","null",
"497123","null","Colt McCoy","QB","WAS","QB","WAS","null","0.112","null","null","null","33","null","null","0.004","null","null","null","0.112","0.112","null","null",
"497145","null","Joique Bell","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","null","5.11","null","null","null","43","null","null","0.43","null","null","null","5.11","5.11","4.5178","null",
"497172","null","Anthony Dixon","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"497176","null","Toby Gerhart","RB","FA","RB","FA","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"497188","null","Ryan Mathews","RB","PHI","RB","PHI","null","4.23","null","null","null","49","null","null","0.09","null","null","null","4.23","4.23","5.453","null",
"497190","null","Dexter McCluster","RB","SD","RB","SD","null","0","null","null","null","88","null","null","0","null","null","null","0","0","null","null",
"497204","null","C.J. Spiller","RB","NYJ","RB","NYJ","null","0.19","null","null","null","85","null","null","0.11","null","null","null","0.19","0.19","8.4455","null",
"497206","null","James Starks","RB","GB","RB","GB","null","4.07","null","null","null","51","null","null","0.3","null","null","null","4.07","4.07","null","null",
"497224","null","Ed Dickson","TE","CAR","TE","CAR","null","2.54","null","null","null","34","null","null","0.04","null","null","null","2.54","2.54","5.4764","null",
"497226","null","Jim Dray","TE","FA","TE","FA","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"497234","null","Garrett Graham","TE","DEN","TE","DEN","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"497236","null","Jimmy Graham","TE","SEA","TE","SEA","null","9.03","null","null","null","6","null","null","0.355","null","null","null","9.03","9.03","3.6983","null",
"497238","null","Jermaine Gresham","TE","ARI","TE","ARI","null","2.86","null","null","null","31","null","null","0.205","null","null","null","2.86","2.86","5.3342","null",
"497240","null","Rob Gronkowski","TE","NE","TE","NE","null","11.32","null","null","null","2","null","null","0.72","null","null","null","11.32","11.32","2.3469","null",
"497246","null","Michael Hoomanawanui","TE","NO","TE","NO","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"497250","null","Anthony McCoy","TE","FA","TE","FA","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"497254","null","Dennis Pitta","TE","BAL","TE","BAL","null","7.58","null","null","null","13","null","null","0.04","null","null","null","7.58","7.58","4.2673","null",
"497256","null","Tony Moeaki","TE","FA","TE","FA","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"497258","null","Andrew Quarless","TE","FA","TE","FA","null","0","null","null","null","72","null","null","0","null","null","null","0","0","null","null",
"497260","null","Seyi Ajirotutu","WR","PHI","WR","PHI","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"497270","null","Arrelious Benn","WR","JAC","WR","JAC","null","0.33","null","null","null","125","null","null","0.01","null","null","null","0.33","0.33","5.7874","null",
"497278","null","Dez Bryant","WR","DAL","WR","DAL","null","11.91","null","null","null","14","null","null","0.325","null","null","null","11.91","11.91","null","null",
"497282","null","Riley Cooper","WR","FA","WR","FA","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
"497284","null","Eric Decker","WR","NYJ","WR","NYJ","null","0","null","null","null","129","null","null","0","null","null","null","0","0","null","null",
