Le'Veon Bell,21.77,0.0,0.0,0.0,20.9,102,0.8,6.4,6.1,48.1,0.3,0.0,0.0,0.1,
LeSean McCoy,18.01,0.0,0.0,0.0,21.5,111,0.7,3.5,2.5,16.5,0.1,0.0,0.0,0.1,
David Johnson,17.65,0.0,0.0,0.0,20.3,84.6,0.6,6.1,4.2,40.8,0.3,0.0,0.0,0.3,
Ezekiel Elliott,16.84,0.0,0.0,0.0,21.7,97.8,0.7,2.8,2.3,19.5,0.1,0.0,0.0,0.2,
Devonta Freeman,16.38,0.0,0.0,0.0,17.0,89.4,0.7,3.0,2.4,21.4,0.2,0.0,0.0,0.1,
DeMarco Murray,15.99,0.0,0.0,0.0,20.2,84.0,0.7,3.7,3.0,22.7,0.2,0.0,0.0,0.2,
Lamar Miller,12.91,0.0,0.0,0.0,20.0,78.7,0.5,2.4,2.1,13.0,0.1,0.0,0.0,0.1,
Bilal Powell,12.07,0.0,0.0,0.0,16.5,77.2,0.5,1.5,1.1,8.6,0.1,0.0,0.0,0.2,
Jay Ajayi,12.02,0.0,0.0,0.0,18.7,77.2,0.4,2.3,1.5,10.8,0.1,0.0,0.0,0.3,
Kenneth Farrow,12.01,0.0,0.0,0.0,15.9,63.8,0.4,3.5,2.8,20.1,0.1,0.0,0.0,0.2,
Tevin Coleman,11.80,0.0,0.0,0.0,13.3,65.0,0.5,2.0,1.6,13.3,0.1,0.0,0.0,0.1,
Jonathan Stewart,11.68,0.0,0.0,0.0,17.7,70.5,0.6,1.1,1.0,5.9,0.0,0.0,0.0,0.2,
Jeremy Hill,11.15,0.0,0.0,0.0,15.9,59.1,0.4,3.5,2.8,18.9,0.1,0.0,0.0,0.1,
Spencer Ware,10.99,0.0,0.0,0.0,15.3,65.6,0.4,2.7,2.4,14.2,0.1,0.0,0.0,0.1,
Jordan Howard,10.74,0.0,0.0,0.0,16.7,65.2,0.3,2.7,2.2,14.8,0.1,0.0,0.0,0.1,
Carlos Hyde,10.72,0.0,0.0,0.0,15.1,57.1,0.4,3.4,2.6,15.9,0.1,0.0,0.0,0.2,
Rob Kelley,10.58,0.0,0.0,0.0,17.5,70.2,0.4,1.5,1.2,7.5,0.1,0.0,0.0,0.1,
Thomas Rawls,10.58,0.0,0.0,0.0,14.7,60.1,0.4,2.9,2.3,13.2,0.1,0.0,0.0,0.2,
Frank Gore,10.53,0.0,0.0,0.0,14.8,60.4,0.4,3.2,2.1,14.1,0.1,0.0,0.0,0.2,
Isaiah Crowell,10.00,0.0,0.0,0.0,12.4,56.0,0.4,2.7,2.4,15.9,0.1,0.0,0.0,0.1,
Latavius Murray,9.93,0.0,0.0,0.0,14.3,53.9,0.3,3.0,2.5,17.0,0.1,0.0,0.0,0.1,
Todd Gurley,9.63,0.0,0.0,0.0,18.2,60.8,0.3,1.9,1.5,11.2,0.1,0.0,0.0,0.1,
LeGarrette Blount,9.60,0.0,0.0,0.0,16.6,65.1,0.5,0.3,0.3,2.0,0.0,0.0,0.0,0.1,
