crockett gillmore,10,1.64,3,2.14,
lorenzo taliaferro,10,0,1,0,
breshad perriman,12,4.85,2,5.06,
javorius allen,10,1.16,1,1.34,
nick boyle,10,0.41,3,0.49,
chris moore,10,0.26,2,0.43,
kenneth dixon,16,10.41,1,8.54,
philadelphia,17,8.0,4,7.72,
baltimore,19,10.390,4,5.32,
matt cassel,20,0.03,0,0.15,
anthony fasano,10,2.36,3,2.49,
delanie walker,19,9.69,3,6.86,
harry douglas,10,0.9,2,1.07,
marc mariani,10,0.9,2,0.81,
demarco murray,33,14.49,1,8.13,
kendall wright,13,4.23,2,4.11,
rishard matthews,24,10.48,2,9.10,
phillip supernaw,10,0.72,3,0.64,
jace amaro,10,2.37,3,2.02,
antonio andrews,10,0.36,1,0.53,
marcus mariota,34,16.93,0,8.23,
jalston fowler,10,0.45,1,0.50,
tre mcbride,10,0.9,2,0.81,
derrick henry,14,6.51,1,6.37,
tajae sharpe,14,5.3,2,5.29,
alex smith,26,16.52,0,8.42,
jeremy maclin,16,7.42,2,6.65,
anthony sherman,10,0.33,1,0.50,
nick foles,20,0.45,0,0.48,
travis kelce,24,10.88,3,8.01,
knile davis,10,0.32,1,0.31,
spencer ware,22,14.34,1,9.50,
demetrius harris,10,1.29,3,1.46,
deanthony thomas,10,0.32,2,0.57,
charcandrick west,10,3.46,1,3.96,
albert wilson,10,1.88,2,2.13,
chris conley,10,4.11,2,3.87,
james oshaughnessy,10,0.17,3,0.19,
ross travis,10,0.09,3,0.11,
demarcus robinson,10,0.84,2,1.05,
tyreek hill,25,12.12,2,8.57,
tennessee,10,5.990,4,5.10,
kansas city,20,8.020,4,5.59,
anquan boldin,18,9.31,2,7.56,
dan orlovsky,23,0.86,0,0.63,
matthew mulligan,10,0.66,3,0.66,
matthew stafford,31,18.2,0,8.24,
golden tate,23,12.51,2,10.03,
andre roberts,10,0.84,2,0.95,
clay harbor,10,0.37,3,0.50,
joique bell,10,0.53,1,0.91,
marvin jones,16,10.01,2,6.79,
theo riddick,20,0,1,0,
eric ebron,16,7.39,3,5.86,
michael burton,10,0.35,1,0.57,
zach zenner,10,4.21,1,4.23,
dwayne washington,11,7.87,1,3.00,
eli manning,30,16.62,0,7.77,
josh johnson,20,0,0,0,
rashad jennings,16,10.06,1,9.69,
victor cruz,12,4.31,2,3.41,
dwayne harris,10,0.74,2,0.72,
larry donnell,10,1.54,3,1.72,
bobby rainey,10,1.39,1,1.34,
ryan nassib,20,0.98,0,0.74,
tavarres king,10,0.13,2,0.34,
odell beckham,35,15.74,2,9.13,
will tye,12,4.34,3,4.05,
sterling shepard,17,7.26,2,5.94,
paul perkins,12,4.59,1,4.87,
jerell adams,10,0.55,3,0.66,
roger lewis,10,0.59,2,0.75,
shane vereen,11,2.39,1,2.42,
will johnson,10,0.74,1,0.79,
detroit,15,6.620,4,5.06,
new york giants,15,8.670,4,5.15,
frank gore,19,11.57,1,7.49,
jordan todman,10,0.31,1,0.40,
scott tolzien,20,0.42,0,0.39,
andrew luck,33,16.74,0,8.98,
dwayne allen,14,4.01,3,3.42,
ty hilton,30,13.63,2,9.43,
robert turbin,10,2.37,1,2.93,
jack doyle,11,7.01,3,6.23,
donte moncrief,18,0,2,0,
erik swoope,10,1.05,3,1.12,
phillip dorsett,11,5.14,2,5.48,
josh ferguson,10,0.9,1,0.89,
chester rogers,10,0.89,2,1.07,
shaun hill,20,0.51,0,0.47,
sam bradford,25,16.25,0,8.88,
kyle rudolph,17,9.08,3,6.70,
matt asiata,14,6.88,1,6.61,
jarius wright,10,0.98,2,0.88,
rhett ellison,10,0.43,3,0.52,
cordarrelle patterson,12,3.38,2,3.03,
charles johnson,10,1.8,2,1.92,
zach line,10,0.44,1,0.50,
adam thielen,16,8.91,2,7.02,
jerick mckinnon,12,6.13,1,4.34,
stefon diggs,23,13.61,2,8.75,
laquon treadwell,10,0.7,2,0.83,
david morgan,10,0.75,3,0.74,
adrian peterson,10,5.7,1,3.93,
indianapolis,15,6.310,4,5.11,
minnesota,21,9.260,4,5.57,
drew brees,37,23.03,0,9.23,
luke mccown,20,0.82,0,0.65,
john kuhn,10,0.51,1,0.57,
tim hightower,14,8.79,1,6.31,
john phillips,10,0.49,3,0.54,
mark ingram,19,11.67,1,7.65,
coby fleener,12,6.47,3,6.04,
travaris cadet,10,2.28,1,2.23,
brandin cooks,26,11.37,2,8.49,
brandon coleman,11,1,2,1,
willie snead,19,9.98,2,7.35,
marcus murphy,10,0.31,1,0.51,
