Le'Veon Bell,20.5,96.6,0.7,6.3,52.5,0.2,0.2,20.1
David Johnson,19.7,84.6,0.8,5.5,53.8,0.3,0.3,19.9
LeSean McCoy,20.2,100.6,0.9,3.1,22.9,0.1,0.1,17.9
Ezekiel Elliott,21.3,98.2,0.8,2.8,23.5,0.1,0.2,17.4
Devonta Freeman,16.3,75.7,0.8,3.0,26.0,0.1,0.1,15.5
DeMarco Murray,20.2,87.1,0.6,3.1,22.8,0.1,0.2,14.4
Bilal Powell,16.0,72.2,0.5,3.6,25.1,0.1,0.2,13.1
Jordan Howard,17.1,73.7,0.3,2.7,22.3,0.2,0.1,12.8
Lamar Miller,19.1,76.7,0.5,2.0,14.3,0.1,0.1,12.6
Thomas Rawls,16.7,73.6,0.6,2.1,14.9,0.1,0.1,12.6
Spencer Ware,15.6,67.5,0.5,2.3,21.6,0.1,0.1,12.4
Jay Ajayi,17.7,74.6,0.6,1.7,12.5,0.0,0.2,12.3
Latavius Murray,15.7,64.6,0.6,2.5,18.1,0.1,0.1,12.2
Jeremy Hill,17.3,65.7,0.6,2.5,18.9,0.1,0.1,12.2
Carlos Hyde,16.5,72.1,0.6,2.0,12.8,0.1,0.1,12.0
Tevin Coleman,10.6,46.7,0.4,2.8,28.1,0.3,0.1,11.6
Robert Kelley,17.0,69.5,0.6,1.3,8.7,0.0,0.1,11.6
LeGarrette Blount,16.9,70.7,0.6,0.8,4.7,0.0,0.1,11.1
Doug Martin,16.2,63.6,0.4,1.7,13.6,0.0,0.2,10.1
Jonathan Stewart,16.1,68.3,0.4,0.9,6.1,0.0,0.2,9.7
Kenneth Farrow,14.3,57.9,0.3,2.7,19.2,0.1,0.2,9.7
Frank Gore,14.7,60.4,0.3,2.1,16.1,0.1,0.1,9.5
Isaiah Crowell,12.9,55.4,0.3,2.5,20.7,0.1,0.1,9.4
Todd Gurley,16.6,57.5,0.2,2.4,17.4,0.0,0.1,8.9
Ryan Mathews,13.3,50.5,0.4,1.7,12.4,0.0,0.2,8.8
Mark Ingram,11.9,46.3,0.2,2.8,21.0,0.1,0.2,8.5
Kenneth Dixon,11.2,46.7,0.2,3.0,20.6,0.1,0.1,8.5
Rashad Jennings,12.1,46.6,0.3,2.1,14.9,0.1,0.1,7.8
Ty Montgomery,8.2,35.2,0.2,3.1,25.1,0.2,0.1,7.6
T.J. Yeldon,10.4,38.7,0.1,3.3,23.3,0.1,0.1,7.3
