Dwayne Washington,5.58,0.0,0.0,0.0,9.0,36.5,0.2,1.1,0.8,5.5,0.0,0.0,0.0,0.0,
Chris Thompson,5.52,0.0,0.0,0.0,4.0,17.0,0.1,3.5,2.8,22.5,0.1,0.0,0.0,0.1,
Terrance West,5.43,0.0,0.0,0.0,8.7,31.9,0.2,1.6,1.3,7.5,0.0,0.0,0.0,0.1,
Jalen Richard,5.20,0.0,0.0,0.0,5.8,23.3,0.2,2.1,1.6,10.9,0.1,0.0,0.0,0.1,
Derrick Henry,5.06,0.0,0.0,0.0,6.2,28.9,0.2,1.2,0.9,5.4,0.0,0.0,0.0,0.0,
James White,4.92,0.0,0.0,0.0,1.2,4.3,0.0,3.5,2.9,30.7,0.2,0.0,0.0,0.0,
Shane Vereen,4.89,0.0,0.0,0.0,2.9,11.9,0.1,3.5,2.7,24.2,0.1,0.0,0.0,0.1,
James Starks,4.86,0.0,0.0,0.0,6.0,23.3,0.1,2.1,1.7,12.8,0.1,0.0,0.0,0.1,
Benny Cunningham,4.76,0.0,0.0,0.0,2.2,11.7,0.1,3.3,2.7,22.6,0.2,0.0,0.0,0.0,
Justin Forsett,3.69,0.0,0.0,0.0,5.3,17.8,0.1,1.3,1.2,7.8,0.1,0.0,0.0,0.0,
Damien Williams,3.57,0.0,0.0,0.0,4.0,15.2,0.1,1.6,1.2,9.5,0.1,0.0,0.0,0.1,
Charcandrick West,3.46,0.0,0.0,0.0,3.3,15.0,0.1,2.0,1.2,9.0,0.1,0.0,0.0,0.0,
Jeremy Langford,3.38,0.0,0.0,0.0,4.3,16.8,0.1,1.5,0.8,7.5,0.0,0.0,0.0,0.0,
Zach Zenner,3.33,0.0,0.0,0.0,5.8,22.5,0.1,0.4,0.3,2.3,0.0,0.0,0.0,0.0,
Alfred Morris,3.26,0.0,0.0,0.0,4.6,18.2,0.1,0.8,0.7,4.5,0.0,0.0,0.0,0.0,
Alfred Blue,3.04,0.0,0.0,0.0,4.3,19.6,0.1,0.3,0.3,2.0,0.0,0.0,0.0,0.0,
Robert Turbin,3.00,0.0,0.0,0.0,2.1,7.4,0.1,2.6,2.0,13.8,0.1,0.0,0.0,0.0,
Fozzy Whittaker,2.84,0.0,0.0,0.0,2.5,10.5,0.1,1.5,1.3,9.0,0.1,0.0,0.0,0.0,
DeAngelo Williams,2.80,0.0,0.0,0.0,3.7,14.4,0.1,0.7,0.6,4.4,0.0,0.0,0.0,0.0,
Mike Gillislee,2.43,0.0,0.0,0.0,3.5,13.3,0.1,0.6,0.5,3.0,0.0,0.0,0.0,0.0,
Andre Ellington,2.29,0.0,0.0,0.0,2.6,9.4,0.1,0.8,0.7,5.4,0.0,0.0,0.0,0.0,
Troymaine Pope,2.18,0.0,0.0,0.0,3.1,11.1,0.1,0.9,0.7,4.4,0.0,0.0,0.0,0.0,
Paul Perkins,2.15,0.0,0.0,0.0,3.7,14.3,0.1,0.4,0.3,1.8,0.0,0.0,0.0,0.0,
DuJuan Harris,2.12,0.0,0.0,0.0,3.6,12.7,0.1,0.3,0.2,2.4,0.0,0.0,0.0,0.0,
Christine Michael,2.11,0.0,0.0,0.0,3.6,14.7,0.1,0.4,0.3,1.6,0.0,0.0,0.0,0.0,
Shaun Draughn,2.06,0.0,0.0,0.0,1.0,3.8,0.0,1.8,1.3,10.6,0.1,0.0,0.0,0.0,
Kyle Juszczyk,2.04,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.9,15.6,0.1,0.0,0.0,0.0,
Taiwan Jones,2.03,0.0,0.0,0.0,1.8,7.4,0.1,0.7,0.5,6.0,0.0,0.0,0.0,0.0,
Jamize Olawale,1.88,0.0,0.0,0.0,1.8,7.3,0.1,0.7,0.5,5.7,0.0,0.0,0.0,0.0,
Lance Dunbar,1.84,0.0,0.0,0.0,0.9,3.3,0.0,0.8,0.7,9.2,0.1,0.0,0.0,0.0,
Ka'Deem Carey,1.73,0.0,0.0,0.0,1.9,7.5,0.0,0.7,0.7,5.0,0.0,0.0,0.0,0.0,
Kenneth Farrow,1.67,0.0,0.0,0.0,2.4,8.8,0.1,0.5,0.4,3.2,0.0,0.0,0.0,0.0,
Jonathan Grimes,1.59,0.0,0.0,0.0,2.4,8.9,0.1,0.3,0.3,1.9,0.0,0.0,0.0,0.0,
