Minnesota Vikings,2.9,1.4,0.8,1.3,0.3,0,0,16.8,293.1,10.7
Carolina Panthers,2.5,1.1,0.7,1,0.2,0,0,21.7,343,8.2
New England Patriots,2.3,1.1,0.9,1.2,0.2,0,0,18.7,332.9,8
San Diego Chargers,2.3,1,0.7,1.1,0.2,0,0,24.1,339.6,7.8
Cincinnati Bengals,2.5,1.1,0.7,0.8,0.2,0,0,16.9,329.5,7.7
Atlanta Falcons,2.2,1.1,0.6,0.8,0.2,0,0,19,305.9,7.6
Tampa Bay Buccaneers,2.1,1,0.8,1.3,0.2,0,0,24.6,403.5,7.5
Miami Dolphins,2.3,1.1,0.7,1.1,0.3,0,0.1,21.9,372.3,7.4
Houston Texans,2.5,1.1,0.7,0.8,0.2,0,0,23.7,347.1,7.4
New Orleans Saints,2,1,0.8,1.4,0.2,0,0,26.5,394.8,7.3
Denver Broncos,2.4,1,0.7,0.9,0.1,0,0,21.1,323.7,7.3
Philadelphia Eagles,1.9,0.9,0.8,1.4,0.2,0,0,24,380.7,7.2
Detroit Lions,1.9,1,0.6,0.8,0.1,0,0.1,19.8,352.4,7.1
Washington Redskins,2.3,0.9,0.7,1.1,0.2,0,0,23.2,348.4,7
Arizona Cardinals,2.6,1,0.7,1.1,0.2,0,0,20.5,317.7,7
Tennessee Titans,2.5,1,0.5,0.6,0.2,0,0,22.7,343.1,7
Indianapolis Colts,2,1,0.7,0.9,0.2,0,0,20.5,342.4,6.7
Oakland Raiders,2.1,0.8,0.7,1.1,0.2,0,0,24.7,359.6,6.6
Dallas Cowboys,2,0.9,0.8,1.2,0.2,0,0,20.9,335.1,6.4
New York Jets,2.4,0.8,0.8,1.2,0.2,0,0,22.5,315.9,6.4
Jacksonville Jaguars,2.6,0.8,0.6,0.7,0.2,0,0.1,20.9,295.3,6.3
Buffalo Bills,2,1,0.6,0.7,0.2,0,0,24.1,385.1,6.2
San Francisco 49ers,1.7,1.1,0.5,0.7,0.1,0,0,20.1,340.8,6.2
Pittsburgh Steelers,2.5,0.9,0.6,0.7,0.2,0,0,22.9,359.6,6.1
Los Angeles Rams,2.1,0.9,0.7,1,0.2,0,0,26,394.7,6.1
Green Bay Packers,2.5,0.9,0.5,0.5,0.1,0,0,23.8,389.2,6
Kansas City Chiefs,1.8,1,0.7,1,0.2,0,0,24.2,375,5.9
Seattle Seahawks,2.3,0.8,0.7,0.9,0.1,0,0,21.9,332.1,5.9
Chicago Bears,2.5,0.7,0.6,0.6,0.1,0,0.1,25.6,365.4,5.8
Baltimore Ravens,2.2,0.7,0.6,0.8,0.2,0,0.1,26,355.4,5.6
Cleveland Browns,2,0.8,0.6,0.7,0.1,0,0,25.6,396.2,5.4
New York Giants,1.9,0.7,0.7,1,0.2,0,0,25.4,382.8,5.2
