Jermaine Kearse,0.0,0.0,0.0,2.7,36.5,0.2,0.0,4.7
Victor Cruz,0.0,0.0,0.0,2.7,36.8,0.2,0.1,4.6
Robby Anderson,0.0,0.1,0.0,2.6,33.4,0.2,0.0,4.5
Brian Quick,0.0,0.0,0.0,2.7,35.1,0.2,0.0,4.5
Eli Rogers,0.0,0.0,0.0,2.7,32.6,0.2,0.0,4.3
Seth Roberts,0.0,0.0,0.0,2.5,30.3,0.2,0.0,4.3
Josh Bellamy,0.1,0.3,0.0,2.6,34.0,0.1,0.0,4.3
Devin Funchess,0.0,0.0,0.0,2.0,29.4,0.2,0.0,4.2
Phillip Dorsett,0.2,0.9,0.0,2.0,31.1,0.2,0.0,4.2
Russell Shepard,0.0,0.1,0.0,2.4,28.7,0.2,0.0,4.1
Torrey Smith,0.0,0.0,0.0,1.9,29.5,0.2,0.0,4.1
John Brown,0.2,1.6,0.0,2.2,30.5,0.1,0.0,4.1
Quinton Patton,0.0,0.0,0.0,2.6,31.9,0.1,0.0,4.0
Terrance Williams,0.0,0.0,0.0,2.2,32.2,0.1,0.0,4.0
Freddie Martino,0.0,0.0,0.0,2.3,30.4,0.2,0.0,4.0
Tajae Sharpe,0.0,0.1,0.0,2.4,29.1,0.2,0.0,3.9
Marquise Goodwin,0.0,0.0,0.0,2.1,30.5,0.1,0.0,3.9
Kendall Wright,0.1,0.3,0.0,2.2,28.3,0.2,0.0,3.8
Dorial Green-Beckham,0.0,0.0,0.0,2.2,27.2,0.2,0.0,3.8
Justin Hardy,0.0,0.0,0.0,2.3,25.9,0.2,0.0,3.5
Aldrick Robinson,0.0,0.0,0.0,1.9,26.2,0.2,0.0,3.5
Nelson Agholor,0.1,0.3,0.0,2.4,27.7,0.1,0.0,3.5
Bryan Walters,0.0,0.0,0.0,2.4,25.1,0.2,0.1,3.3
Cordarrelle Patterson,0.3,1.7,0.0,2.3,22.9,0.1,0.0,3.3
Breshad Perriman,0.1,0.2,0.0,1.9,24.0,0.1,0.0,3.0
Albert Wilson,0.1,0.5,0.0,1.9,20.7,0.1,0.0,2.9
Andrew Hawkins,0.1,0.4,0.0,1.8,20.7,0.1,0.0,2.8
Deonte Thompson,0.0,0.0,0.0,1.6,21.2,0.1,0.0,2.8
Chris Conley,0.0,0.0,0.0,1.9,21.8,0.1,0.0,2.8
James Wright,0.0,0.1,0.0,1.4,20.0,0.1,0.0,2.7
Daniel Brown,0.0,0.1,0.0,1.9,19.6,0.1,0.0,2.7
Kamar Aiken,0.0,0.0,0.0,1.8,22.5,0.1,0.0,2.7
Justin Hunter,0.0,0.0,0.0,1.2,16.4,0.2,0.0,2.6
Cody Core,0.0,0.0,0.0,1.4,20.0,0.1,0.0,2.6
Sammie Coates,0.0,0.1,0.0,1.0,18.5,0.1,0.0,2.4
Bryce Treggs,0.0,0.1,0.0,1.6,19.7,0.1,0.0,2.4
Cobi Hamilton,0.0,0.0,0.0,1.3,16.5,0.1,0.0,2.3
Neal Sterling,0.0,0.0,0.0,1.9,17.7,0.1,0.0,2.2
Philly Brown,0.1,0.3,0.0,1.1,15.0,0.1,0.0,2.0
Bennie Fowler,0.0,0.2,0.0,1.2,15.6,0.1,0.0,2.0
Paul Richardson,0.0,0.0,0.0,1.1,15.5,0.1,0.0,2.0
Andre Holmes,0.0,0.0,0.0,1.2,14.0,0.1,0.0,2.0
Chris Harper,0.0,0.0,0.0,1.2,15.8,0.1,0.1,2.0
Brandon Coleman,0.0,0.0,0.0,1.1,14.9,0.1,0.0,2.0
Jordan Taylor,0.0,0.0,0.0,1.1,13.5,0.1,0.0,1.9
Josh Huff,0.2,1.2,0.0,1.2,13.6,0.1,0.1,1.9
Danny Amendola,0.1,0.7,0.0,0.8,12.1,0.1,0.0,1.9
Alex Erickson,0.0,0.0,0.0,1.1,14.0,0.1,0.0,1.8
Jordan Norwood,0.0,0.0,0.0,1.2,13.3,0.1,0.0,1.7
Brice Butler,0.0,0.0,0.0,1.0,12.7,0.1,0.0,1.7
Seth DeValve,0.0,0.0,0.0,1.1,10.6,0.1,0.0,1.7
Arrelious Benn,0.0,0.0,0.0,1.0,11.5,0.1,0.0,1.7
Charone Peake,0.0,0.0,0.0,1.0,11.5,0.1,0.0,1.6
Tanner McEvoy,0.0,0.0,0.0,0.8,10.9,0.1,0.0,1.5
Andre Roberts,0.0,0.0,0.0,0.9,11.3,0.1,0.0,1.5
Harry Douglas,0.0,0.0,0.0,0.9,11.3,0.1,0.0,1.5
Roger Lewis,0.0,0.0,0.0,0.7,9.8,0.1,0.0,1.4
Jalin Marshall,0.0,0.0,0.0,0.9,10.0,0.1,0.0,1.4
Rod Streater,0.0,0.0,0.0,0.9,10.3,0.1,0.0,1.3
Pharoh Cooper,0.1,0.3,0.0,0.9,10.1,0.0,0.0,1.3
Ryan Grant,0.0,0.0,0.0,0.8,9.9,0.1,0.0,1.3
Devin Smith,0.0,0.0,0.0,0.8,10.4,0.1,0.1,1.3
Paul Turner,0.0,0.0,0.0,0.8,9.9,0.0,0.0,1.2
Laquon Treadwell,0.0,0.0,0.0,0.8,10.2,0.0,0.0,1.2
Keith Mumphery,0.0,0.0,0.0,0.8,9.1,0.0,0.0,1.2
Brenton Bersin,0.1,0.9,0.0,0.7,10.1,0.0,0.0,1.1
Johnny Holton,0.0,0.4,0.0,0.5,7.0,0.1,0.0,1.1
Brandon Tate,0.0,0.0,0.0,0.7,8.3,0.0,0.0,1.0
Jeff Janis,0.1,0.4,0.0,0.5,5.9,0.0,0.0,0.8
Charles Johnson,0.0,0.0,0.0,0.7,7.4,0.0,0.0,0.8
Ricardo Louis,0.0,0.0,0.0,0.5,6.1,0.0,0.0,0.8
Jarius Wright,0.0,0.0,0.0,0.6,5.8,0.0,0.0,0.7
Darren Waller,0.0,0.0,0.0,0.7,6.2,0.0,0.0,0.7
Rashard Higgins,0.0,0.0,0.0,0.4,5.6,0.0,0.0,0.6
Tre McBride,0.0,0.0,0.0,0.4,5.0,0.0,0.0,0.6
Jeremy Butler,0.0,0.0,0.0,0.5,5.0,0.0,0.0,0.6
