"A.J. Green (WR, CIN)",,,20.74,,,,,,,,,,,,,,,,
"Tom Brady (QB, NE)",,,20.61,,,,,,,,,,,,,,,,
"Matt Ryan (QB, ATL)",,,20.34,,,,,,,,,,,,,,,,
"Kirk Cousins (QB, WSH)",,,20.18,,,,,,,,,,,,,,,,
"Andy Dalton (QB, CIN)",,,20.15,,,,,,,,,,,,,,,,
"Matthew Stafford (QB, DET)",,,20.09,,,,,,,,,,,,,,,,
"Le'Veon Bell (RB, PIT)",,,20.06,,,,,,,,,,,,,,,,
"David Johnson (RB, ARI)",,,19.67,,,,,,,,,,,,,,,,
"DeMarco Murray (RB, TEN)",,,19.47,,,,,,,,,,,,,,,,
"Melvin Gordon (RB, SD)",,,19.37,,,,,,,,,,,,,,,,
"Drew Brees (QB, NO)",,,19.13,,,,,,,,,,,,,,,,
"Julio Jones (WR, ATL)",,,19.12,,,,,,,,,,,,,,,,
"Antonio Brown (WR, PIT)",,,18.98,,,,,,,,,,,,,,,,
"Devonta Freeman (RB, ATL)",,,18.93,,,,,,,,,,,,,,,,
"Odell Beckham (WR, NYG)",,,18.92,,,,,,,,,,,,,,,,
"Marcus Mariota (QB, TEN)",,,18.79,,,,,,,,,,,,,,,,
"Andrew Luck (QB, IND)",,,18.69,,,,,,,,,,,,,,,,
"Aaron Rodgers (QB, GB)",,,18.35,,,,,,,,,,,,,,,,
"Todd Gurley (RB, LA)",,,18.23,,,,,,,,,,,,,,,,
"Blake Bortles (QB, JAC)",,,18.15,,,,,,,,,,,,,,,,
"Philip Rivers (QB, SD)",,,17.75,,,,,,,,,,,,,,,,
"T.Y. Hilton (WR, IND)",,,17.64,,,,,,,,,,,,,,,,
"Mike Evans (WR, TB)",,,17.6,,,,,,,,,,,,,,,,
"Tyrod Taylor (QB, BUF)",,,17.48,,,,,,,,,,,,,,,,
"Amari Cooper (WR, OAK)",,,17,,,,,,,,,,,,,,,,
"Cameron Meredith (WR, CHI)",,,16.92,,,,,,,,,,,,,,,,
"Mark Ingram (RB, NO)",,,16.64,,,,,,,,,,,,,,,,
"Jordy Nelson (WR, GB)",,,16.56,,,,,,,,,,,,,,,,
"Eli Manning (QB, NYG)",,,16.53,,,,,,,,,,,,,,,,
"Lamar Miller (RB, HOU)",,,16.47,,,,,,,,,,,,,,,,
"Allen Robinson (WR, JAC)",,,16.44,,,,,,,,,,,,,,,,
"Brandin Cooks (WR, NO)",,,16.43,,,,,,,,,,,,,,,,
"Derek Carr (QB, OAK)",,,16.4,,,,,,,,,,,,,,,,
"Marvin Jones (WR, DET)",,,16.34,,,,,,,,,,,,,,,,
"Larry Fitzgerald (WR, ARI)",,,16.17,,,,,,,,,,,,,,,,
"Colin Kaepernick (QB, SF)",,,16.08,,,,,,,,,,,,,,,,
"Brandon Marshall (WR, NYJ)",,,16.05,,,,,,,,,,,,,,,,
"Jameis Winston (QB, TB)",,,16.01,,,,,,,,,,,,,,,,
"Alex Smith (QB, KC)",,,15.91,,,,,,,,,,,,,,,,
"Jordan Howard (RB, CHI)",,,15.9,,,,,,,,,,,,,,,,
"Brian Hoyer (QB, CHI)",,,15.76,,,,,,,,,,,,,,,,
"Jamaal Charles (RB, KC)",,,15.56,,,,,,,,,,,,,,,,
"Russell Wilson (QB, SEA)",,,15.53,,,,,,,,,,,,,,,,
"Joe Flacco (QB, BAL)",,,15.44,,,,,,,,,,,,,,,,
"Emmanuel Sanders (WR, DEN)",,,15.43,,,,,,,,,,,,,,,,
"Frank Gore (RB, IND)",,,15.25,,,,,,,,,,,,,,,,
"Carson Wentz (QB, PHI)",,,15.2,,,,,,,,,,,,,,,,
"Alshon Jeffery (WR, CHI)",,,15.08,,,,,,,,,,,,,,,,
"Matt Jones (RB, WSH)",,,14.95,,,,,,,,,,,,,,,,
"DeAndre Hopkins (WR, HOU)",,,14.94,,,,,,,,,,,,,,,,
"Jarvis Landry (WR, MIA)",,,14.93,,,,,,,,,,,,,,,,
"Carson Palmer (QB, ARI)",,,14.82,,,,,,,,,,,,,,,,
"Travis Benjamin (WR, SD)",,,14.82,,,,,,,,,,,,,,,,
"C.J. Anderson (RB, DEN)",,,14.55,,,,,,,,,,,,,,,,
"Terrance West (RB, BAL)",,,14.4,,,,,,,,,,,,,,,,
"Sam Bradford (QB, MIN)",,,14.31,,,,,,,,,,,,,,,,
"Jeremy Maclin (WR, KC)",,,14.19,,,,,,,,,,,,,,,,
"Jacquizz Rodgers (RB, TB)",,,14.07,,,,,,,,,,,,,,,,
"Cody Kessler (QB, CLE)",,,14.06,,,,,,,,,,,,,,,,
"Julian Edelman (WR, NE)",,,14.05,,,,,,,,,,,,,,,,
"Mike Gillislee (RB, BUF)",,,14.02,,,,,,,,,,,,,,,,
"Jeremy Hill (RB, CIN)",,,13.97,,,,,,,,,,,,,,,,
"Isaiah Crowell (RB, CLE)",,,13.95,,,,,,,,,,,,,,,,
"Landry Jones (QB, PIT)",,,13.91,,,,,,,,,,,,,,,,
