playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"206","null","Andre Caldwell","WR","DET","WR","DET","null","0","null","null","null","156","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","0.49","null","null","null","133","null","null","0.025","null","null","null","0.49","0.49","6.4582","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.23","null","null","null","101","null","null","0.025","null","null","null","0.23","0.23","3.4054","null",
"234","null","Matt Forte","RB","NYJ","RB","NYJ","null","11.53","null","null","null","18","null","null","0.36","null","null","null","11.53","11.53","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0.032","null","null","null","52","null","null","0.004","null","null","null","0.032","0.032","null","null",
"264","null","Josh Johnson","QB","NYG","QB","NYG","null","0","null","null","null","62","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","17.27","null","null","null","11","null","null","0.19","null","null","null","17.27","17.27","4.9488","null",
"318","null","Jerome Simpson","WR","FA","WR","FA","null","0","null","null","null","156","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","15.85","null","null","null","19","null","null","0.535","null","null","null","15.85","15.85","5.2815","null",
"927","null","Justin Forsett","RB","DET","RB","DET","null","0.92","null","null","null","83","null","null","0.255","null","null","null","0.92","0.92","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","10.93","null","null","null","21","null","null","0.17","null","null","null","10.93","10.93","4.5094","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","11.02","null","null","null","19","null","null","0.235","null","null","null","11.02","11.02","2.4707","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","5.67","null","null","null","24","null","null","0.24","null","null","null","5.67","5.67","3.3282","null",
"1062","null","Martellus Bennett","TE","NE","TE","NE","null","5.86","null","null","null","22","null","null","0.165","null","null","null","5.86","5.86","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","7.88","null","null","null","50","null","null","0.175","null","null","null","7.88","7.88","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","8.31","null","null","null","41","null","null","0.04","null","null","null","8.31","8.31","null","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","8.15","null","null","null","45","null","null","0.02","null","null","null","8.15","8.15","4.3358","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","3.88","null","null","null","100","null","null","0.265","null","null","null","3.88","3.88","4.7217","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","7.74","null","null","null","37","null","null","0.095","null","null","null","7.74","7.74","4.583","null",
"4433","null","Marcel Reece","RB","FA","RB","FA","null","0","null","null","null","114","null","null","0","null","null","null","0","0","null","null",
"71217","null","Kenny Britt","WR","LA","WR","LA","null","10.57","null","null","null","22","null","null","0.255","null","null","null","10.57","10.57","5.2362","null",
"71255","null","Chase Coffman","TE","IND","TE","IND","null","0","null","null","null","83","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","GB","TE","GB","null","5.72","null","null","null","23","null","null","0.155","null","null","null","5.72","5.72","4.1703","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","11.78","null","null","null","12","null","null","0.165","null","null","null","11.78","11.78","null","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","2","null","null","null","13","null","null","0","null","null","null","2","2","5.1628","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","12.75","null","null","null","12","null","null","0.34","null","null","null","12.75","12.75","3.9206","null",
"71417","null","Jordan Norwood","WR","DEN","WR","DEN","null","3.16","null","null","null","104","null","null","0.13","null","null","null","3.16","3.16","4.2715","null",
"71435","null","John Phillips","TE","NO","TE","NO","null","1.04","null","null","null","59","null","null","0.285","null","null","null","1.04","1.04","null","null",
"79589","null","David Johnson","TE","PIT","TE","PIT","null","0.34","null","null","null","69","null","null","0.02","null","null","null","0.34","0.34","null","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","13.58","null","null","null","10","null","null","0.7","null","null","null","13.58","13.58","null","null",
"79858","null","Mark Sanchez","QB","DAL","QB","DAL","null","0","null","null","null","62","null","null","0","null","null","null","0","0","null","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","14.77","null","null","null","22","null","null","0.08","null","null","null","14.77","14.77","4.9488","null",
"81284","null","Chase Daniel","QB","PHI","QB","PHI","null","0.024","null","null","null","54","null","null","0.002","null","null","null","0.024","0.024","null","null",
"81306","null","Brandon Tate","WR","BUF","WR","BUF","null","3","null","null","null","107","null","null","0.12","null","null","null","3","3","3.5641","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","3.48","null","null","null","46","null","null","0.135","null","null","null","3.48","3.48","3.5387","null",
"89802","null","Ryan Succop","K","TEN","K","TEN","null","2.2","null","null","null","10","null","null","0.05","null","null","null","2.2","2.2","6.2728","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","6.3","null","null","null","20","null","null","0.3","null","null","null","6.3","6.3","7.8899","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","6.6","null","null","null","19","null","null","0.4","null","null","null","6.6","6.6","3.9794","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","9.7","null","null","null","1","null","null","0.5","null","null","null","9.7","9.7","2.2018","null",
"100004","null","Panthers","DST","CAR","DST","CAR","null","4.8","null","null","null","30","null","null","0.6","null","null","null","4.8","4.8","5.0459","null",
"100005","null","Bears","DST","CHI","DST","CHI","null","5.9","null","null","null","22","null","null","0.1","null","null","null","5.9","5.9","6.8234","null",
"100006","null","Bengals","DST","CIN","DST","CIN","null","7","null","null","null","16","null","null","0.2","null","null","null","7","7","3.2683","null",
"100007","null","Browns","DST","CLE","DST","CLE","null","5.8","null","null","null","24","null","null","0.25","null","null","null","5.8","5.8","1.4908","null",
"100008","null","Cowboys","DST","DAL","DST","DAL","null","5.8","null","null","null","23","null","null","8.8818e-16","null","null","null","5.8","5.8","5.0459","null",
"100009","null","Broncos","DST","DEN","DST","DEN","null","8.9","null","null","null","4","null","null","0.45","null","null","null","8.9","8.9","4.6904","null",
"100010","null","Lions","DST","DET","DST","DET","null","7.9","null","null","null","8","null","null","0.15","null","null","null","7.9","7.9","4.6904","null",
