Matt Forte,12.54
Marquise Goodwin,0.68
Corey Coleman,8.53
Stefon Diggs,10.81
Travis Benjamin,10.82
Greg Salas,0.83
Isaiah Crowell,8.33
Jaron Brown,0.85
Kelvin Benjamin,13.10
Martellus Bennett,6.57
Blaine Gabbert,11.54
Mike Wallace,7.03
Trey Burton,0.92
Danny Amendola,6.63
Eric Decker,10.81
Fozzy Whittaker,1.53
Vance McDonald,5.60
Greg Olsen,11.30
Melvin Gordon,9.82
Jimmy Garoppolo,12.45
Tyrod Taylor,16.57
Quincy Enunwa,0.54
LeGarrette Blount,10.31
Giovani Bernard,8.78
Jacob Tamme,6.99
Clive Walford,4.12
Ryan Tannehill,17.15
Matt Ryan,19.03
Corey Grant,0.17
Tyrell Williams,5.76
Tevin Coleman,7.15
Chris Johnson,4.75
Cam Newton,24.19
Jordan Cameron,5.82
Kenny Stills,4.50
Mike Gillislee,1.71
Anquan Boldin,6.07
Austin Hooper,2.69
Sammie Coates,4.64
Dennis Pitta,5.25
Adam Humphries,0.81
Derek Carr,18.91
Marcedes Lewis,2.22
Kenyan Drake,2.38
Sam Bradford,13.22
Delanie Walker,11.08
Marqise Lee,2.44
Kenny Britt,5.16
Philip Rivers,18.53
Frank Gore,8.01
Torrey Smith,7.88
Jamison Crowder,6.74
DeAndre Hopkins,15.27
Vernon Davis,0.39
DeAngelo Williams,16.48
DeVante Parker,6.96
Ryan Mathews,11.96
Robert Turbin,3.05
Andre Johnson,2.67
DeMarco Murray,11.25
Latavius Murray,12.93
Justin Hardy,3.02
Andre Holmes,2.50
Jesse James,6.17
Will Fuller,8.16
Sterling Shepard,9.61
Cole Beasley,4.45
Charcandrick West,2.86
Dak Prescott,14.46
Marvin Jones,10.55
Kyle Rudolph,7.19
Lance Kendricks,3.51
Devin Funchess,5.44
Tyler Lockett,8.13
Matt Jones,10.37
Ryan Fitzpatrick,17.86
Alfred Morris,4.19
Larry Fitzgerald,14.15
CJ Anderson,14.14
Jordy Nelson,13.37
Willie Snead,11.10
Ben Roethlisberger,19.15
Adam Thielen,2.45
Andy Dalton,17.06
Carson Palmer,22.07
Josh McCown,14.20
Brian Hoyer,0.98
Spencer Ware,7.70
Joe Flacco,16.27
Tyler Boyd,5.13
Jarvis Landry,13.18
Julio Jones,18.70
Victor Cruz,7.09
Josh Doctson,5.04
Jalin Marshall,1.00
Mike Evans,13.80
Eddie Royal,5.04
Julius Thomas,7.49
Michael Crabtree,9.92
Ezekiel Elliott,12.70
Devontae Booker,4.67
Kirk Cousins,18.23
Chris Hogan,5.83
Brandon Marshall,11.38
Chris Thompson,6.75
Blake Bortles,19.99
Brock Osweiler,11.97
Michael Thomas,6.77
Dez Bryant,12.20
Tavon Austin,6.21
Virgil Green,5.83
Jimmy Graham,5.49
Christine Michael,8.24
Eric Ebron,7.23
Derrick Henry,5.73
Terrance West,6.90
Alshon Jeffery,12.21
Antonio Gates,10.36
Nelson Agholor,6.55
Steve Smith,9.09
Theo Riddick,9.42
Justin Forsett,6.31
Michael Floyd,9.57
Jordan Reed,10.30
Breshad Perriman,5.46
DeAndre Washington,7.48
Ted Ginn,4.91
Lesean McCoy,11.43
Jared Cook,5.62
Demaryius Thomas,13.10
Marcus Mariota,18.83
Aaron Rodgers,19.78
Brandon LaFell,7.16
Allen Hurns,9.79
James White,5.81
Shane Vereen,7.65
Darren Sproles,8.18
Kevin White,6.97
Zach Miller,6.68
Jeremy Maclin,11.31
Case Keenum,11.96
Duke Johnson,9.59
Jeremy Hill,8.75
Jason Witten,9.54
Rishard Matthews,7.61
Matthew Stafford,18.55
Gary Barnidge,7.44
Devonta Freeman,13.37
Phillip Dorsett,6.89
Dorial Green-Beckham,4.95
Shaun Draughn,5.45
Charles Clay,7.20
Coby Fleener,7.38
Jeremy Langford,11.60
Dwayne Allen,7.74
Lamar Miller,14.58
Julian Edelman,13.71
Vincent Jackson,9.07
Jordan Matthews,13.29
CJ Uzomah,5.02
Robert Woods,5.73
Chris Conley,6.10
Travis Kelce,9.30
Trevor Siemian,13.63
Will Tye,6.01
Carson Wentz,16.02
Terrelle Pryor,8.49
Amari Cooper,13.44
Mohamed Sanu,7.54
Tajae Sharpe,9.47
James Starks,6.91
Emmanuel Sanders,10.40
TY Hilton,10.51
Charles Sims,9.00
Brandin Cooks,14.08
Dontrelle Inman,6.19
Chris Ivory,5.01
Todd Gurley,12.76
Kamar Aiken,6.14
Jermaine Kearse,7.29
Sammy Watkins,8.21
John Brown,7.43
Kendall Wright,6.51
Brent Celek,6.45
Pierre Garcon,9.62
DeSean Jackson,11.22
TJ Yeldon,10.29
Ameer Abdullah,10.22
Randall Cobb,11.96
Donte Moncrief,8.41
Allen Robinson,13.46
Odell Beckham,17.55
Jerick McKinnon,6.75
Bilal Powell,7.24
Eddie Lacy,12.98
Danny Woodhead,12.55
Carlos Hyde,11.30
Terrance Williams,8.28
Golden Tate,11.36
Rashad Jennings,12.14
Russell Wilson,18.80
Jameis Winston,15.93
Markus Wheaton,9.36
Thomas Rawls,9.46
Jamaal Charles,9.34
Doug Martin,11.73
AJ Green,15.26
Doug Baldwin,13.08
Eli Manning,20.91
Jonathan Stewart,11.30
Arian Foster,11.46
Mark Ingram,15.32
Andrew Luck,20.15
Alex Smith,13.01
Drew Brees,24.11
Antonio Brown,18.14
Adrian Peterson,15.33
Rob Gronkowski,15.01
Jay Cutler,16.62
