Marvin Jones,11.55
Tevin Coleman,7.20
Christine Michael,7.52
Zach Miller,6.09
Emmanuel Sanders,10.95
Devonta Freeman,13.75
Doug Baldwin,9.79
Trevor Siemian,15.10
Jeremy Hill,9.30
Darren Sproles,6.78
Wendell Smallwood,0.58
Cameron Brate,4.11
TY Hilton,12.36
LeGarrette Blount,10.43
Lesean McCoy,11.99
Carlos Hyde,11.17
Coby Fleener,7.61
Jordy Nelson,13.60
Jameis Winston,16.13
Orleans Darkwa,2.38
DeMarco Murray,13.39
Kenjon Barner,0.76
Mike Evans,12.39
Travis Kelce,7.67
Brian Quick,2.85
Terrelle Pryor,6.95
Jimmy Graham,6.50
David Johnson,16.51
Michael Thomas,6.06
Tavon Austin,7.60
Charles Sims,12.11
Seth Roberts,0.83
Kyle Rudolph,7.07
Jamison Crowder,8.00
Matthew Stafford,19.78
Damien Williams,1.32
Jarvis Landry,13.98
Adam Humphries,3.67
Brandon Coleman,0.79
Sterling Shepard,8.20
Dak Prescott,16.58
DeSean Jackson,11.18
John Phillips,0.57
Allen Robinson,13.70
Todd Gurley,14.93
Justin Hardy,3.26
Shane Vereen,8.73
Demaryius Thomas,10.95
John Kuhn,0.94
Jordan Howard,4.70
Drew Brees,21.86
Richard Rodgers,2.69
Davante Adams,4.58
Brent Celek,1.69
Carson Wentz,16.22
Lance Dunbar,1.85
Jaron Brown,0.56
Jace Amaro,2.46
Kenny Stills,4.67
DeVante Parker,8.95
Tommylee Lewis,0.91
Frank Gore,12.10
Aaron Rodgers,23.03
Anquan Boldin,6.74
Ryan Tannehill,17.68
Hunter Henry,2.48
Ezekiel Elliott,14.37
Cole Beasley,5.56
Robert Turbin,4.50
Ryan Griffin,3.03
Jack Doyle,4.78
Dion Sims,2.58
DeAndre Washington,4.51
Ted Ginn,4.52
Mark Ingram,16.23
Terrance Williams,5.60
Kenyan Drake,2.94
Steve Smith,8.17
Chris Conley,2.70
Alfred Morris,6.38
Tyrod Taylor,15.29
John Brown,6.23
Sammie Coates,3.95
Michael Crabtree,10.72
Cameron Artis-Payne,4.95
Kirk Cousins,17.90
Marqise Lee,3.85
Tyrell Williams,6.62
Duke Johnson,8.31
Jay Ajayi,8.72
Victor Cruz,7.60
Robert Woods,5.09
Brian Hoyer,17.73
Antonio Brown,16.86
Jacoby Brissett,14.00
Bilal Powell,5.53
Dez Bryant,11.62
Kevin White,7.15
Case Keenum,14.25
Eric Ebron,8.84
Gary Barnidge,8.19
Melvin Gordon,15.05
Michael Floyd,8.19
Pierre Garcon,8.26
Terrance West,6.90
Jalen Richard,5.93
Brandon LaFell,5.72
Matt Ryan,20.90
Eddie Lacy,13.05
Spencer Ware,8.84
Jordan Matthews,12.09
Matt Jones,10.41
Mohamed Sanu,6.24
Devontae Booker,4.94
Adam Thielen,6.37
Dennis Pitta,7.85
Isaiah Crowell,10.90
Torrey Smith,6.66
Clive Walford,5.89
Rishard Matthews,6.61
Derrick Henry,7.93
Latavius Murray,13.66
Jacquizz Rodgers,5.30
Alex Smith,15.35
Vincent Jackson,7.37
Mike Tolbert,5.07
Jerick McKinnon,8.23
Mike Wallace,7.37
Lamar Miller,14.98
Danny Amendola,6.71
Mike Gillislee,5.43
Travis Benjamin,11.65
Greg Olsen,11.72
Allen Hurns,8.75
Shaun Draughn,5.19
Odell Beckham,18.66
Justin Forsett,7.54
Amari Cooper,11.88
Joe Flacco,16.95
Blake Bortles,17.79
Chris Ivory,6.88
Chris Thompson,7.05
Golden Tate,10.26
Alshon Jeffery,13.23
Eli Manning,19.61
Jordan Reed,11.93
Sam Bradford,14.27
Fozzy Whittaker,10.77
Kamar Aiken,5.37
Virgil Green,4.96
Alfred Blue,6.12
Jacob Tamme,9.00
Martellus Bennett,6.84
Will Fuller,9.39
Tim Hightower,6.63
Matt Asiata,6.96
Dwayne Allen,10.23
Jason Witten,9.40
Jordan Cameron,6.49
Tajae Sharpe,12.00
Jesse James,7.78
Charles Clay,6.49
Kenny Britt,7.84
AJ Green,15.43
Giovani Bernard,11.36
Kenneth Farrow,5.92
Matt Forte,12.78
Blaine Gabbert,10.88
Cam Newton,21.02
Julian Edelman,11.55
Derek Carr,17.91
Markus Wheaton,6.59
James Starks,7.12
Theo Riddick,12.05
Phillip Dorsett,10.75
Andy Dalton,16.80
Jamaal Charles,6.17
Rashad Jennings,6.49
Chris Johnson,6.56
Andrew Luck,19.96
Julius Thomas,9.19
Jeremy Maclin,12.20
Eric Decker,11.00
Russell Wilson,19.95
Stefon Diggs,12.40
Cody Kessler,13.80
Tyler Lockett,7.94
Larry Fitzgerald,15.75
Arian Foster,7.39
Randall Cobb,12.99
Sammy Watkins,8.46
TJ Yeldon,11.39
Antonio Gates,9.65
Philip Rivers,18.86
Jeremy Langford,13.73
CJ Anderson,13.06
DeAndre Hopkins,16.37
Corey Coleman,9.95
Brandon Marshall,14.31
Brock Osweiler,17.04
Kelvin Benjamin,12.02
Brandin Cooks,13.11
Delanie Walker,12.42
Willie Snead,12.18
Thomas Rawls,10.86
Rob Gronkowski,12.33
DeAngelo Williams,16.13
Ryan Mathews,11.37
Marcus Mariota,18.19
Ryan Fitzpatrick,15.74
Ben Roethlisberger,20.70
Carson Palmer,21.88
Julio Jones,20.47
